ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
-221177,478750,472971,
-221577,478738,472986,
-221920,478842,473147,
-222144,478883,473159,
-222248,478928,473345,
-222315,479000,473436,
-222444,479116,473546,
-222664,479188,473673,
-222931,479297,473896,
-223202,479355,473989,
-223487,479440,474152,
-223812,479535,474275,
-224151,479605,474376,
-224426,479649,474537,
-224575,479703,474632,
-224605,479813,474668,
-224567,479873,474887,
-224497,479920,474883,
-224399,480030,475096,
-224278,480110,475164,
-224167,480183,475295,
-224104,480250,475439,
-224108,480292,475524,
-224189,480406,475630,
-224383,480401,475775,
-224737,480490,475911,
-225245,480597,476100,
-225808,480630,476152,
-226269,480719,476343,
-226521,480846,476432,
-226580,480945,476653,
-226572,481033,476686,
-226640,481104,476925,
-226867,481172,476979,
-227253,481207,477151,
-227724,481312,477281,
-228165,481418,477441,
-228477,481549,477535,
-228626,481587,477675,
-228664,481623,477756,
-228680,481706,477925,
-228730,481735,477993,
-228808,481844,478084,
-228872,481867,478179,
-228887,481976,478336,
-228839,482008,478361,
-228728,481985,478435,
-228581,482065,478501,
-228476,482076,478603,
-228536,482173,478687,
-228852,482215,478739,
-229402,482265,478849,
-230039,482273,478992,
-230568,482363,479115,
-230882,482437,479228,
-231022,482462,479327,
-231137,482597,479467,
-231362,482635,479598,
-231741,482700,479693,
-232213,482819,479791,
-232670,482908,479928,
-233008,482956,480056,
-233176,483051,480201,
-233207,483127,480313,
-233218,483177,480441,
-233361,483229,480569,
-233710,483267,480650,
-234190,483324,480795,
-234593,483432,480947,
-234695,483503,480988,
-234375,483491,481096,
-233658,483602,481147,
-232668,483648,481292,
-231569,483687,481449,
-230534,483801,481533,
-229767,483852,481597,
-229517,483890,481750,
-230035,483972,481896,
-231449,484013,482002,
-233647,484114,482150,
-236242,484203,482190,
-238694,484263,482290,
-240512,484317,482468,
-241431,484443,482629,
-241464,484562,482773,
-240828,484637,482904,
-239820,484719,483033,
-238730,484871,483188,
-237786,484853,483321,
-237141,484992,483472,
-236844,485044,483604,
-236835,485116,483773,
-236976,485246,483913,
-237117,485290,484091,
-237181,485427,484147,
-237186,485503,484351,
-237214,485599,484499,
-237342,485745,484663,
-237576,485843,484850,
-237837,485967,485053,
-237999,486079,485185,
-237972,486175,485335,
-237769,486185,485388,
-237508,486200,485438,
-237342,486186,485420,
-237347,486091,485285,
-237482,485778,484935,
-237647,485440,484449,
-237788,484935,483858,
-237944,484369,483029,
-238170,483669,482196,
-238427,482988,481305,
-238555,482201,480320,
-238396,481457,479307,
-237958,480704,478349,
-237467,479979,477442,
-237213,479259,476579,
-237336,478676,475671,
-237717,478003,474833,
-238076,477432,474075,
-238180,476939,473395,
-237972,476420,472682,
-237567,475978,472067,
-237135,475584,471579,
-236805,475357,471152,
-236614,475086,470711,
-236528,474788,470352,
-236474,474650,469985,
-236392,474424,469786,
-236270,474294,469605,
-236154,474237,469432,
-236124,474175,469355,
-236243,474077,469257,
-236507,474133,469266,
-236845,474064,469208,
-237162,474110,469194,
-237401,474071,469205,
-237569,474105,469178,
-237722,474139,469218,
-237925,474140,469237,
-238213,474090,469242,
-238577,474158,469292,
-238975,474126,469360,
-239354,474035,469279,
-239686,474122,469377,
-239992,474165,469301,
-240340,474016,469319,
-240794,474020,469268,
-241366,474019,469200,
-242003,473981,469229,
-242614,473919,469189,
-243120,473942,469154,
-243494,473918,469135,
-243765,473835,469100,
-244005,473753,469049,
-244288,473772,468986,
-244636,473756,469054,
-244996,473723,469048,
-245275,473721,469044,
-245418,473715,469059,
-245466,473707,469158,
-245535,473808,469221,
-245735,473872,469344,
-246989,474057,469444,
-247286,474148,469604,
-247358,474249,469645,
-247208,474324,469733,
-246961,474394,469914,
-246824,474421,470033,
-246957,474478,470178,
-247347,474542,470234,
-247800,474572,470335,
-248077,474549,470388,
-248058,474586,470453,
-247810,474589,470501,
-247521,474618,470513,
-247382,474536,470527,
-247491,474611,470620,
-247826,474522,470640,
-248265,474628,470623,
-248637,474553,470662,
-248818,474496,470633,
-248799,474490,470642,
-248701,474403,470588,
-248680,474424,470563,
-248815,474449,470584,
-249052,474470,470540,
-249278,474395,470545,
-249427,474406,470512,
-249525,474454,470568,
-249640,474407,470562,
-249806,474427,470643,
-250004,474410,470576,
-250195,474437,470599,
-250346,474464,470630,
-250437,474467,470603,
-250455,474522,470686,
-250415,474587,470746,
-250382,474637,470881,
-250441,474658,470882,
-250637,474722,470987,
-250941,474833,471043,
-251272,474851,471123,
-251554,474929,471230,
-251745,474931,471325,
-251832,474996,471410,
-251825,475145,471546,
-251774,475286,471674,
-251775,475344,471787,
-251914,475419,471955,
-252187,475516,472058,
-252791,475621,472523,
-252856,475719,472647,
-252996,475741,472742,
-253223,475855,472935,
-253462,475959,473086,
-253630,476078,473192,
-253716,476140,473294,
-253769,476220,473494,
-253838,476311,473594,
-253945,476404,473772,
-254101,476526,473829,
-254310,476568,474005,
-254550,476614,474127,
-254772,476740,474265,
-254930,476746,474396,
-255035,476896,474498,
-255142,476972,474650,
-255283,477038,474799,
-255427,477114,474948,
-255526,477274,475146,
-255596,477291,475229,
-255725,477352,475342,
-255982,477467,475485,
-256320,477568,475617,
-256598,477629,475776,
-256696,477655,475850,
-256618,477751,475927,
-256481,477887,476151,
-256417,477913,476264,
-256487,478065,476349,
-256683,478074,476502,
-256961,478257,476739,
-257265,478354,476847,
-257520,478390,476930,
-257646,478430,477051,
-257613,478526,477154,
-257488,478632,477274,
-257408,478671,477419,
-257492,478759,477487,
-257769,478809,477688,
-258172,478934,477702,
-258593,478926,477875,
-258927,479034,477919,
-259107,479093,478033,
-259119,479182,478208,
-259024,479193,478282,
-258925,479261,478436,
-258915,479305,478469,
-259020,479369,478608,
-259215,479445,478690,
-259460,479537,478796,
-259714,479716,478954,
-259925,479688,479089,
-260035,479810,479204,
-260028,479839,479261,
-259974,479951,479464,
-259982,480037,479514,
-260098,480053,479667,
-260247,480167,479773,
-260304,480200,479842,
-260214,480326,480054,
-260037,480378,480102,
-259873,480377,480244,
-259764,480427,480357,
-259684,480562,480545,
-259615,480615,480592,
-259609,480757,480706,
-259739,480778,480889,
-260026,480906,481082,
-260405,480974,481120,
-260793,481006,481291,
-261146,481095,481471,
-261461,481245,481596,
-261740,481304,481688,
-261978,481361,481838,
-262191,481463,481994,
-262418,481594,482218,
-262685,481694,482300,
-262979,481735,482446,
-263264,481865,482608,
-263522,481945,482697,
-263766,482018,482890,
-264005,482096,482976,
-264228,482191,483216,
-264413,482303,483299,
-264545,482411,483398,
-264589,482474,483570,
-264471,482553,483772,
-264097,482663,483957,
-263442,482751,484078,
-262598,482894,484187,
-261733,482976,484346,
-260990,483098,484513,
-260464,483165,484630,
-260283,483316,484722,
-260680,483368,484848,
-261910,483460,485059,
-264016,483580,485181,
-266660,483621,485296,
-269221,483743,485470,
-271114,483887,485654,
-272057,483996,485787,
-272113,483976,485918,
-271525,484175,486085,
-270560,484238,486213,
-269465,484333,486306,
-268471,484409,486474,
-267762,484591,486655,
-267401,484706,486833,
-267309,484748,486951,
-267336,484872,487147,
-267354,485009,487260,
-267313,485063,487367,
-267228,485185,487589,
-267162,485301,487707,
-267209,485433,487931,
-267439,485543,488047,
-267831,485615,488239,
-268246,485729,488301,
-268508,485815,488478,
-268531,485855,488604,
-268388,485878,488623,
-268239,485805,488613,
-268193,485753,488496,
-268240,485492,488121,
-268311,485096,487651,
-268357,484607,487056,
-268382,484006,486250,
-268406,483298,485368,
-268424,482563,484379,
-268427,481738,483378,
-268418,480912,482305,
-268404,480110,481353,
-268378,479317,480367,
-268325,478536,479307,
-268262,477950,478486,
-268239,477306,477633,
-268291,476705,476913,
-268373,476128,476231,
-268376,475715,475580,
-268224,475299,475003,
-267951,474933,474429,
-267685,474601,473990,
-267537,474296,473576,
-267516,474127,473245,
-267543,473876,472989,
-267535,473799,472736,
-267471,473645,472622,
-267377,473597,472461,
-267269,473546,472328,
-267130,473392,472258,
-266943,473463,472216,
-266736,473429,472230,
-266590,473330,472172,
-266608,473342,472140,
-266850,473382,472200,
-267287,473381,472191,
-267789,473467,472184,
-268177,473446,472201,
-268329,473463,472242,
-268268,473534,472298,
-268165,473471,472298,
-268225,473542,472275,
-268557,473510,472323,
-269132,473556,472294,
-269836,473491,472219,
-270544,473471,472219,
-271140,473405,472220,
-271529,473365,472182,
-271676,473394,472106,
-271662,473350,472086,
-271664,473293,471962,
-271836,473232,471923,
-272192,473144,471908,
-272598,473134,471794,
-272901,473075,471793,
-273056,473095,471782,
-273143,473065,471777,
-273270,473030,471732,
-273468,473036,471794,
-273675,473113,471843,
-273808,473093,471875,
-273848,473137,471924,
-273866,473160,471980,
-273980,473239,472057,
-274266,473293,472105,
-274700,473334,472233,
-275156,473394,472286,
-275469,473418,472388,
-275537,473408,472469,
-275383,473505,472498,
-275138,473492,472623,
-274950,473572,472732,
-274879,473608,472775,
-274874,473600,472760,
-274848,473589,472824,
-274789,473580,472858,
-274787,473618,472823,
-274941,473578,472882,
-275247,473618,472887,
-275576,473526,472913,
-275769,473545,472820,
-275765,473455,472777,
-275634,473407,472805,
-275510,473430,472719,
-275484,473379,472738,
-275558,473354,472694,
-275663,473323,472685,
-275729,473320,472670,
-275748,473270,472592,
-275780,473231,472566,
-275913,473190,472499,
-276180,473210,472540,
-276510,473223,472547,
-276761,473190,472553,
-276830,473206,472609,
-276741,473228,472653,
-276625,473201,472697,
-276609,473228,472690,
-276726,473297,472804,
-276929,473339,472852,
-277160,473374,472925,
-277398,473419,473029,
-277612,473426,473104,
-277728,473523,473231,
-277672,473582,473330,
-277464,473646,473485,
-277252,473691,473542,
-277222,473777,473714,
-277461,473887,473800,
-277878,473929,473905,
-278275,474081,474081,
-278478,474128,474158,
-278443,474209,474261,
-278260,474245,474334,
-278086,474390,474539,
-278052,474441,474695,
-278209,474579,474821,
-278524,474581,474930,
-278917,474682,475048,
-279288,474774,475188,
-279533,474844,475328,
-279568,474911,475466,
-279399,475036,475577,
-279155,475119,475723,
-279047,475239,475873,
-279222,475275,475991,
-279633,475322,476108,
-280288,475385,476154,
-280223,475486,476285,
-280293,475480,476385,
-280545,475583,476500,
-280846,475643,476607,
-281023,475635,476678,
-281026,475711,476791,
-280939,475780,476862,
-280863,475854,477002,
-280813,475939,477152,
-280747,475981,477256,
-280661,476079,477374,
-280631,476081,477488,
-280729,476160,477620,
-280927,476283,477695,
-281115,476313,477849,
-281209,476414,477981,
-281232,476475,478047,
-281269,476493,478152,
-281355,476643,478324,
-281437,476637,478420,
-281440,476729,478504,
-281355,476794,478628,
-281251,476797,478683,
-281201,476963,478860,
-281233,476990,478911,
-281325,477018,478975,
-281442,477108,479109,
-281558,477133,479174,
-281660,477165,479202,
-281753,477206,479314,
-281869,477296,479458,
-282034,477344,479538,
-282227,477410,479626,
-282372,477495,479754,
-282403,477512,479800,
-282349,477565,479917,
-282326,477585,480047,
-282437,477684,480130,
-282669,477767,480262,
-282902,477838,480340,
-283020,477855,480432,
-283012,477871,480491,
-282967,477954,480580,
-282988,478042,480685,
-283121,478082,480823,
-283343,478143,480889,
-283602,478172,481026,
-283847,478236,481130,
-284045,478328,481197,
-284190,478402,481307,
-284297,478459,481440,
-284388,478521,481533,
-284461,478618,481720,
-284486,478642,481754,
-284444,478773,481948,
-284364,478762,482046,
-284324,478870,482159,
-284388,478968,482243,
-284549,479071,482424,
-284730,479155,482585,
-284846,479189,482622,
-284870,479274,482747,
-284838,479379,482883,
-284797,479433,483059,
-284759,479543,483183,
-284704,479621,483251,
-284625,479713,483438,
-284550,479784,483488,
-284519,479878,483684,
-284554,479989,483789,
-284660,480065,483953,
-284841,480151,484110,
-285094,480249,484151,
-285396,480305,484307,
-285704,480421,484457,
-285993,480543,484663,
-286279,480681,484779,
-286590,480796,484992,
-286923,480920,485084,
-287218,480973,485275,
-287400,481062,485433,
-287440,481182,485593,
-287381,481244,485729,
-287315,481336,485762,
-287341,481429,485923,
-287531,481476,486084,
-287904,481576,486223,
-288402,481677,486327,
-288877,481737,486369,
-289134,481864,486606,
-289021,481938,486795,
-288502,482034,486868,
-287670,482149,487019,
-286681,482234,487161,
-285684,482334,487323,
-284818,482415,487463,
-284256,482512,487606,
-284220,482564,487694,
-284914,482768,487930,
-286402,482819,488004,
-288534,482830,488094,
-290970,482950,488157,
-293286,483040,488320,
-295081,483129,488433,
-296070,483195,488563,
-296143,483316,488652,
-295410,483337,488810,
-294169,483404,488911,
-292810,483490,489055,
-291673,483548,489122,
