ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
-424195,482101,440973,
-423927,482160,441009,
-423881,482186,441055,
-424003,482184,441100,
-424153,482174,441140,
-424249,482195,441154,
-424311,482245,441194,
-424397,482259,441225,
-424516,482236,441272,
-424645,482315,441302,
-424793,482360,441406,
-425006,482366,441491,
-425293,482421,441484,
-425567,482487,441515,
-425706,482539,441647,
-425669,482561,441673,
-425529,482666,441768,
-425385,482658,441783,
-425263,482734,441856,
-425129,482784,441992,
-424966,482914,442029,
-424808,482902,442142,
-424681,482987,442152,
-424545,483073,442283,
-424344,483080,442311,
-424095,483163,442457,
-423883,483189,442510,
-423747,483309,442574,
-423608,483340,442701,
-423358,483350,442733,
-423034,483364,442764,
-422847,483432,442880,
-423000,483480,442881,
-423467,483532,442958,
-424003,483614,443038,
-424374,483611,443071,
-424564,483618,443132,
-424733,483691,443223,
-424990,483754,443304,
-425259,483774,443347,
-425377,483811,443413,
-425280,483885,443489,
-425065,483961,443570,
-424884,484011,443678,
-424805,484125,443768,
-424804,484127,443826,
-424825,484226,443927,
-424837,484276,444092,
-424832,484403,444114,
-424814,484475,444217,
-424813,484477,444300,
-424877,484582,444460,
-425015,484659,444497,
-425163,484774,444584,
-425224,484813,444728,
-425167,484907,444757,
-425068,484999,444866,
-425026,485074,444967,
-425058,485107,445074,
-425089,485138,445114,
-425053,485265,445222,
-424972,485303,445237,
-424908,485335,445310,
-424874,485382,445410,
-424812,485403,445514,
-424678,485511,445603,
-424512,485526,445628,
-424395,485503,445698,
-424357,485542,445689,
-424358,485560,445717,
-424359,485465,445683,
-424383,485428,445655,
-424463,485360,445547,
-424563,485223,445386,
-424586,485080,445224,
-424477,484889,444983,
-424303,484658,444589,
-424181,484397,444289,
-424145,484065,443866,
-424103,483698,443511,
-423936,483420,443123,
-423628,483025,442630,
-423265,482662,442183,
-422953,482320,441732,
-422736,481955,441264,
-422619,481633,440803,
-422600,481255,440323,
-422656,481010,439894,
-422703,480666,439562,
-422623,480293,439094,
-422368,480022,438685,
-422022,479768,438291,
-421731,479500,437984,
-421570,479276,437625,
-421493,478999,437313,
-421420,478842,437027,
-421343,478627,436756,
-421314,478420,436510,
-421350,478312,436220,
-421397,478123,435959,
-421402,478023,435779,
-421418,477862,435588,
-421574,477736,435435,
-421951,477609,435309,
-422495,477522,435155,
-423068,477391,435016,
-423552,477391,434892,
-423904,477319,434914,
-424120,477204,434743,
-424214,477241,434745,
-424247,477225,434684,
-424332,477164,434638,
-424560,477170,434675,
-424900,477211,434662,
-425214,477250,434628,
-425385,477250,434673,
-425430,477272,434634,
-425466,477233,434602,
-425579,477298,434617,
-425738,477314,434616,
-425859,477317,434607,
-425903,477365,434676,
-425898,477387,434648,
-425869,477386,434682,
-425792,477432,434677,
-425639,477433,434699,
-425459,477413,434712,
-425367,477435,434699,
-425438,477412,434749,
-425629,477424,434743,
-425810,477366,434714,
-425888,477502,434771,
-425868,477513,434805,
-425817,477513,434814,
-425784,477532,434913,
-425767,477585,434913,
-425742,477648,434964,
-425703,477633,435046,
-425661,477699,435110,
-425635,477758,435145,
-425644,477853,435258,
-425712,477904,435227,
-425841,477924,435328,
-425971,477980,435394,
-426001,478038,435408,
-425867,478056,435416,
-425613,478111,435477,
-425359,478082,435485,
-425201,478104,435463,
-425145,478068,435408,
-425140,478073,435419,
-425161,478119,435464,
-425229,478058,435406,
-425356,478038,435325,
-425492,477970,435255,
-425552,477950,435250,
-425507,477936,435162,
-425404,477827,435122,
-425326,477784,435015,
-425313,477757,434970,
-425355,477725,434908,
-425430,477717,434836,
-425534,477612,434744,
-425658,477594,434662,
-425762,477566,434676,
-425804,477471,434614,
-425781,477516,434586,
-425738,477449,434502,
-425714,477481,434473,
-425708,477404,434416,
-425701,477380,434356,
-425714,477375,434308,
-425800,477354,434318,
-425962,477346,434287,
-426100,477348,434259,
-426090,477316,434245,
-425901,477296,434276,
-425644,477308,434238,
-425469,477312,434285,
-425435,477352,434286,
-425503,477395,434348,
-425618,477450,434318,
-425762,477466,434406,
-425910,477488,434485,
-425985,477605,434526,
-425910,477686,434595,
-425719,477724,434713,
-425567,477805,434777,
-425589,477866,434871,
-425770,477957,434934,
-425969,478034,434945,
-426072,478069,435050,
-426101,478212,435158,
-426158,478212,435200,
-426282,478255,435342,
-426401,478320,435380,
-426422,478378,435486,
-426321,478415,435484,
-426154,478495,435588,
-425981,478545,435683,
-425829,478610,435796,
-425725,478707,435839,
-425715,478773,435936,
-425814,478842,436042,
-425946,478922,436163,
-425974,478973,436269,
-425827,479061,436339,
-425580,479191,436474,
-425398,479229,436554,
-425389,479373,436686,
-425529,479437,436714,
-425712,479561,436865,
-425851,479520,436955,
-425923,479645,437059,
-425939,479686,437132,
-425925,479845,437261,
-425922,479852,437323,
-425980,479939,437353,
-426105,479946,437465,
-426228,480040,437511,
-426249,480173,437642,
-426135,480208,437660,
-425892,480366,437734,
-425968,480417,437878,
-426004,480489,437911,
-425985,480519,437983,
-425972,480547,438081,
-426014,480573,438128,
-426078,480638,438178,
-426095,480660,438211,
-426046,480711,438286,
-425981,480775,438329,
-425950,480815,438413,
-425940,480834,438425,
-425907,480890,438491,
-425838,480910,438567,
-425766,480912,438645,
-425708,480946,438604,
-425625,481017,438666,
-425466,480981,438696,
-425238,481055,438809,
-425018,481091,438799,
-424886,481094,438934,
-424863,481129,438886,
-424916,481194,438913,
-425008,481261,439014,
-425098,481294,439023,
-425137,481323,439057,
-425087,481407,439202,
-424983,481461,439179,
-424951,481498,439332,
-425120,481552,439308,
-425499,481560,439426,
-425948,481621,439464,
-426293,481662,439506,
-426443,481668,439605,
-426415,481766,439622,
-426262,481767,439695,
-426032,481830,439765,
-425796,481868,439776,
-425674,481923,439837,
-425758,482034,439932,
-425982,482060,440005,
-426131,482110,440099,
-425992,482200,440170,
-425553,482210,440158,
-425020,482306,440287,
-424638,482346,440330,
-424485,482365,440405,
-424425,482461,440433,
-423182,482507,440736,
-422683,482513,440697,
-422578,482575,440827,
-422988,482631,440876,
-423763,482671,440969,
-424566,482735,441021,
-425100,482779,441131,
-425306,482828,441186,
-425369,482895,441274,
-425508,482940,441361,
-425768,482980,441350,
-426014,482999,441449,
-426104,483107,441506,
-426046,483135,441629,
-425970,483280,441705,
-425967,483384,441785,
-425992,483390,441897,
-425940,483432,441959,
-425781,483572,442036,
-425603,483575,442149,
-425507,483666,442260,
-425503,483713,442229,
-425518,483816,442415,
-425494,483843,442471,
-425449,483968,442568,
-425437,483998,442681,
-425467,484103,442715,
-425490,484178,442867,
-425452,484299,442965,
-425343,484325,443010,
-425181,484391,443061,
-424992,484496,443238,
-424822,484577,443343,
-424753,484633,443376,
