ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
-377505,494314,512287,
-375196,494429,512324,
-374019,494483,512384,
-374195,494495,512564,
-375798,494567,512607,
-378659,494596,512620,
-382242,494633,512647,
-385708,494606,512824,
-389100,494643,512926,
-388031,494691,512968,
-386727,494784,513025,
-385652,494747,513016,
-385015,494727,513089,
-384776,494873,513206,
-384759,494853,513218,
-384792,494876,513270,
-384803,494947,513374,
-384829,495005,513478,
-384932,495031,513631,
-385108,495139,513608,
-385264,495170,513738,
-385268,495295,513897,
-385031,495392,513957,
-384565,495459,514157,
-383980,495547,514309,
-383448,495690,514407,
-383118,495778,514550,
-383036,495841,514650,
-383105,495892,514673,
-383143,495877,514750,
-383014,495900,514739,
-382735,495753,514638,
-382455,495541,514304,
-382314,495096,513891,
-382311,494373,513064,
-382295,493339,512043,
-382086,492044,510743,
-381629,490745,509233,
-381037,489518,507996,
-380500,488340,506755,
-380144,487433,505712,
-379948,486656,504836,
-379800,486021,504125,
-379619,485575,503522,
-379439,485193,503140,
-379364,484921,502857,
-379451,484704,502601,
-379655,484516,502316,
-379866,484358,502174,
-380025,484346,502167,
-380176,484285,502092,
-380417,484329,502086,
-380799,484335,502165,
-381255,484398,502313,
-381629,484578,502438,
-381761,484718,502525,
-381609,484813,502700,
-381299,485006,502944,
-381082,485229,503290,
-381182,485438,503441,
-381656,485689,503658,
-382345,485932,504019,
-382979,486077,504178,
-383349,486354,504407,
-383431,486547,504666,
-383376,486789,504920,
-383390,487036,505189,
-383604,487202,505433,
-384010,487464,505730,
-384478,487726,506116,
-384844,488073,506354,
-384982,488323,506632,
-384865,488563,507014,
-384592,488842,507267,
-384366,489130,507539,
-384402,489373,507912,
-384813,489648,508142,
-385530,489927,508558,
-386349,490279,508802,
-387059,490486,509170,
-387561,490814,509492,
-387886,491113,509866,
-388124,491437,510218,
-388349,491725,510509,
-388593,492007,510773,
-388861,492188,511042,
-389159,492449,511255,
-389501,492651,511510,
-389914,492877,511666,
-390407,493050,511925,
-390946,493246,512118,
-391447,493346,512231,
-391814,493596,512435,
-391999,493775,512654,
-392037,493895,512829,
-392041,494036,512952,
-392157,494103,513081,
-392495,494275,513284,
-393066,494368,513371,
-393760,494399,513480,
-394402,494575,513579,
-394850,494605,513673,
-395071,494573,513642,
-395127,494511,513600,
-395095,494539,513564,
-395003,494465,513503,
-394856,494422,513501,
-394711,494363,513443,
-394703,494292,513395,
-394949,494266,513427,
-395430,494192,513395,
-395974,494183,513322,
-396378,494158,513372,
-396559,494170,513351,
-396587,494128,513333,
-396589,494074,513265,
-396640,493971,513291,
-396751,494004,513248,
-396930,493853,513065,
-397191,493706,512989,
-397519,493589,512846,
-397839,493471,512754,
-398070,493416,512668,
-398208,493318,512570,
-398332,493223,512494,
-398525,493195,512445,
-398783,493134,512482,
-399030,493143,512394,
-399216,493154,512511,
-399372,493196,512568,
-399577,493309,512701,
-399851,493330,512755,
-400116,493487,512924,
-400261,493615,513106,
-400253,493746,513264,
-400186,493912,513443,
-400208,494091,513703,
-400417,494263,513968,
-400808,494423,514121,
-401297,494485,514124,
-401758,494497,514200,
-402016,494471,514204,
-401835,494421,514130,
-400963,494399,514085,
-399268,494337,514018,
-396872,494364,514162,
-394173,494358,514118,
-391734,494389,514135,
-390131,494493,514190,
-389795,494532,514344,
-390924,494582,514346,
-393401,494649,514490,
-396785,494719,514528,
-400382,494843,514695,
-403425,494911,514781,
-405325,494988,514838,
-405876,495078,514974,
-405315,495203,515102,
-404195,495292,515165,
-403121,495367,515300,
-402482,495449,515329,
-402342,495527,515461,
-402518,495649,515576,
-402757,495607,515703,
-402884,495777,515772,
-402831,495796,515765,
-402611,495882,515955,
-402281,495914,516000,
-401927,495919,516040,
-401634,496018,516072,
-401442,496037,516142,
-401330,496082,516192,
-401251,496140,516306,
-401185,496190,516334,
-401174,496197,516388,
-401289,496156,516294,
-401558,496119,516359,
-401924,496001,516166,
-402246,495686,515868,
-402371,495139,515271,
-402215,494398,514461,
-401812,493340,513328,
-401309,492171,512117,
-400895,491008,510728,
-400704,489913,509607,
-400728,488893,508398,
-400816,487960,507363,
-400771,487131,506332,
-400484,486416,505584,
-400016,485882,504933,
-399557,485397,504315,
-399276,484983,503780,
-399188,484535,503348,
-399145,484335,503016,
-398960,484047,502706,
-398565,483791,502379,
-398069,483723,502136,
-397667,483525,502049,
-397483,483473,501913,
-397493,483416,501875,
-397576,483417,501839,
-397636,483454,501908,
-397674,483462,501961,
-397761,483534,501929,
-397966,483609,502101,
-398300,483761,502187,
-399393,484204,502389,
-399576,484418,502566,
-399685,484649,502843,
-399780,484911,503082,
-399896,485200,503341,
-400028,485454,503604,
-400151,485643,503914,
-400259,485866,504209,
-400372,486135,504478,
-400513,486457,504770,
-400674,486664,505085,
-400792,486974,505362,
-400765,487227,505661,
-400517,487535,505945,
-400057,487801,506303,
-399507,488069,506609,
-399042,488295,506973,
-398793,488573,507253,
-398775,488818,507529,
-398896,489147,507825,
