ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
-458831,499240,590724,
-458874,499347,590837,
-458933,499411,590971,
-458973,499536,591084,
-458981,499623,591327,
-458988,499719,591594,
-459042,499818,591588,
-459151,499935,591829,
-459271,500011,591972,
-459349,500193,592260,
-459383,500341,592439,
-459420,500459,592645,
-459619,500849,592906,
-459542,500937,593027,
-459370,501082,593286,
-459170,501232,593525,
-459003,501431,593728,
-458891,501522,594003,
-458835,501673,594235,
-458832,501818,594357,
-458871,501942,594618,
-458888,502065,594936,
-458727,502206,594996,
-458151,502429,595295,
-456938,502516,595469,
-455023,502648,595821,
-452644,502780,595951,
-450381,502870,596095,
-448997,502979,596331,
-449125,503102,596526,
-450933,503200,596692,
-454000,503339,596907,
-457486,503549,597075,
-460474,503614,597334,
-462307,503743,597543,
-462759,503898,597748,
-462036,503996,597948,
-460646,504164,598171,
-459184,504289,598377,
-458091,504457,598574,
-457511,504535,598734,
-457312,504615,598936,
-457273,504703,599127,
-457265,504862,599232,
-457295,504970,599467,
-457415,505114,599670,
-457614,505198,599803,
-457808,505352,600051,
-457915,505435,600250,
-457921,505537,600397,
-457872,505640,600598,
-457806,505734,600717,
-457718,505850,600899,
-457555,505974,601072,
-457267,506121,601328,
-456845,506241,601490,
-456343,506346,601659,
-455866,506379,601898,
-455531,506421,602041,
-455421,506472,602088,
-456110,506489,602340,
-456312,506437,602169,
-456337,506304,601967,
-456179,506078,601662,
-455900,505738,601281,
-455597,505415,600643,
-455359,504974,600013,
-455223,504453,599270,
-455168,503883,598396,
-455130,503256,597411,
-455044,502603,596366,
-454891,502006,595422,
-454720,501310,594387,
-454607,500607,593339,
-454597,499959,592266,
-454652,499227,591182,
-454667,498503,590062,
-454541,497773,588958,
-454246,497106,587931,
-453835,496468,586961,
-453414,495872,585990,
-453081,495283,585073,
-452896,494748,584149,
-452875,494233,583383,
-453011,493872,582681,
-453281,493414,581959,
-453635,493016,581300,
-453991,492666,580826,
-454269,492428,580269,
-454432,492145,579809,
-454517,491948,579492,
-454594,491691,579141,
-454704,491562,578796,
-454847,491386,578578,
-455018,491289,578452,
-455234,491228,578313,
-455514,491153,578185,
-455821,491106,578059,
-456082,491114,578013,
-456273,491070,578015,
-456480,491092,578032,
-456840,491141,577917,
-457387,491091,578032,
-457972,491175,578143,
-458346,491217,578194,
-458356,491248,578212,
-458072,491259,578278,
-457730,491311,578348,
-457564,491394,578467,
-457649,491454,578602,
-457884,491639,578712,
-458095,491646,578908,
-458162,491752,579092,
-458088,491856,579257,
-457967,491888,579411,
-457898,492074,579616,
-457924,492199,579911,
-458033,492286,580030,
-458195,492465,580349,
-458393,492631,580534,
-458606,492790,580874,
-458783,492940,581067,
-458852,493059,581348,
-458764,493250,581607,
-458543,493391,581923,
-458270,493535,582133,
-458026,493726,582322,
-457838,493872,582636,
-457688,494011,582906,
-457557,494206,583098,
-457460,494238,583294,
-457429,494377,583492,
-457463,494481,583676,
-457503,494543,583766,
-457479,494593,583866,
-457389,494650,583967,
-457337,494698,584025,
-457452,494729,584087,
-457759,494699,584175,
-458118,494770,584178,
-458321,494760,584208,
-458258,494780,584273,
-458002,494782,584269,
-457727,494815,584315,
-457553,494763,584284,
-457477,494706,584226,
-457425,494680,584264,
-457341,494727,584206,
-457223,494678,584119,
-457104,494637,584057,
-457018,494591,584059,
-457000,494575,584080,
-457084,494556,583999,
-457279,494531,583942,
-457543,494507,583979,
-457785,494497,583958,
-457904,494533,583905,
-457845,494480,583908,
-457614,494455,583907,
-457288,494554,583976,
-456978,494523,584025,
-456786,494536,583994,
-456732,494640,584024,
-456739,494609,584114,
-456691,494665,584212,
-456538,494618,584203,
-456357,494689,584263,
-456295,494739,584413,
-456447,494902,584494,
-456780,494977,584641,
-457165,494961,584681,
-457486,495076,584908,
-457705,495159,584995,
-457859,495220,585182,
-458002,495322,585303,
-458157,495463,585461,
-458307,495503,585565,
-458406,495606,585749,
-458410,495679,585844,
-458310,495809,586042,
-458147,495835,586214,
-458002,495911,586290,
-457960,496031,586473,
-458056,496175,586634,
-458258,496284,586806,
-458482,496326,586950,
-458646,496447,587109,
-458715,496578,587329,
-458693,496756,587532,
-458609,496851,587576,
-458481,496904,587810,
-458313,496996,588075,
-458073,497132,588257,
-457677,497261,588411,
-456976,497436,588677,
-455810,497533,588835,
-454145,497659,589126,
-452217,497708,589166,
-450580,497855,589351,
-449932,497971,589551,
-450788,498085,589726,
-453164,498121,590022,
-456510,498289,590178,
-459936,498466,590390,
-462608,498639,590590,
-464069,498664,590766,
-464312,498804,590994,
-463631,498917,591161,
-462407,499004,591274,
-460975,499111,591385,
-459599,499230,591634,
-458485,499320,591802,
-457760,499393,591967,
-457435,499484,592081,
-457394,499656,592349,
-457472,499806,592565,
-457555,499887,592703,
-457632,499976,592794,
-457749,500061,593005,
-457926,500199,593289,
-458102,500319,593436,
-458175,500363,593576,
-458083,500524,593795,
-457847,500639,594004,
-457550,500782,594207,
-457282,500921,594405,
-457098,500984,594586,
-457014,501172,594801,
-457017,501232,595008,
-457070,501383,595192,
-457134,501507,595344,
-457183,501594,595522,
-457212,501707,595621,
-457228,501685,595634,
-457243,501623,595592,
-457270,501647,595525,
-457315,501494,595191,
-457346,501199,594888,
-457270,500914,594439,
-456967,500580,593942,
-456389,500100,593305,
-455653,499667,592486,
