ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
-1298339,477137,421395,
-1297922,477174,421436,
-1297616,477224,421442,
-1297362,477295,421557,
-1297140,477276,421583,
-1296966,477269,421577,
-1296839,477373,421631,
-1296721,477348,421667,
-1296554,477416,421765,
-1296299,477358,421752,
-1295955,477378,421753,
-1295558,477426,421786,
-1295170,477394,421866,
-1294871,477453,421861,
-1294728,477429,421874,
-1294755,477452,421887,
-1294879,477485,421911,
-1294965,477440,421925,
-1294886,477408,421890,
-1294593,477438,421942,
-1294147,477390,421902,
-1293676,477366,421908,
-1293293,477345,421990,
-1293026,477368,421946,
-1292812,477397,421942,
-1292548,477409,422005,
-1292164,477414,422125,
-1291680,477423,422181,
-1291184,477544,422218,
-1290780,477554,422243,
-1290525,477597,422367,
-1290408,477675,422403,
-1290363,477690,422474,
-1290298,477747,422466,
-1290131,477754,422602,
-1289819,477811,422730,
-1289382,477858,422754,
-1288899,477859,422736,
-1288459,477926,422793,
-1288107,477952,422932,
-1287820,477964,422972,
-1287537,477902,422922,
-1287223,477852,422924,
-1286882,477887,422935,
-1286541,477911,422970,
-1286202,477941,422995,
-1285848,477930,423022,
-1285472,477936,423061,
-1285103,477914,423110,
-1284779,477967,423157,
-1284513,477957,423143,
-1284272,477956,423193,
-1284016,477913,423106,
-1283742,477926,423188,
-1283472,477874,423219,
-1283213,477945,423246,
-1282931,477939,423255,
-1282592,477951,423347,
-1282217,477954,423317,
-1281881,477964,423349,
-1281640,478014,423373,
-1281480,477983,423411,
-1281332,477992,423350,
-1281140,477996,423381,
-1280909,477963,423473,
-1280673,478008,423496,
-1280451,478022,423471,
-1280225,477960,423539,
-1279969,477935,423537,
-1279678,477992,423648,
-1279351,477985,423668,
-1278101,477998,423645,
-1277648,478049,423715,
-1277263,478077,423813,
-1276964,478126,423839,
-1276712,478077,423866,
-1276465,478125,423911,
-1276224,478189,423973,
-1276024,478259,424068,
-1275875,478342,424100,
-1275716,478446,424207,
-1275466,478504,424357,
-1275115,478602,424490,
-1274752,478654,424582,
-1274505,478678,424674,
-1274434,478758,424773,
-1274491,478799,424775,
-1274560,478871,424857,
-1274537,478887,424989,
-1274381,478991,425082,
-1274124,479050,425071,
-1273828,479076,425227,
-1273544,479159,425278,
-1273275,479156,425436,
-1272971,479194,425451,
-1272577,479258,425461,
-1272083,479249,425532,
-1271565,479324,425700,
-1271154,479347,425719,
-1270942,479442,425810,
-1270859,479439,425883,
-1270618,479484,425883,
-1269800,479521,426030,
-1268089,479541,426063,
-1265531,479558,426139,
-1262651,479573,426171,
-1260307,479646,426247,
-1259317,479731,426301,
-1260071,479675,426376,
-1262332,479738,426435,
-1265362,479781,426420,
-1268265,479826,426561,
-1270362,479826,426627,
-1271394,479807,426618,
-1271499,479885,426681,
-1271017,479986,426735,
-1270279,479992,426794,
-1269478,480012,426927,
-1268686,480035,427009,
-1266823,480008,427086,
-1266567,480022,427130,
-1266423,480053,427143,
-1266217,480010,427258,
-1265819,480090,427305,
-1265245,480060,427347,
-1264657,480083,427361,
-1264247,480206,427470,
-1264092,480263,427595,
-1264102,480269,427562,
-1264092,480315,427610,
-1263924,480267,427538,
-1263599,480218,427416,
-1263233,480065,427309,
-1262951,479839,427093,
-1262778,479578,426805,
