ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
-395760,497537,470678,
-396334,497442,470647,
-396784,497247,470490,
-396992,497049,470338,
-396999,496850,470151,
-397240,496572,469158,
-397411,496260,468783,
-397511,496061,468308,
-397583,495748,468015,
-397693,495579,467598,
-397824,495197,467068,
-397897,494913,466703,
-397869,494508,466185,
-397791,494202,465807,
-397733,493912,465429,
-397706,493724,465101,
-397670,493439,464817,
-397621,493206,464476,
-397616,493041,464222,
-397696,492868,464093,
-397811,492736,463894,
-397865,492649,463745,
-397830,492562,463637,
-397773,492436,463475,
-397776,492382,463288,
-397833,492247,463230,
-397878,492216,463102,
-397890,492108,462999,
-397942,492064,462877,
-398120,492095,462847,
-398424,491987,462767,
-398773,491950,462802,
-399117,491881,462676,
-399486,491867,462602,
-399934,491791,462539,
-400436,491785,462526,
-400897,491746,462382,
-401254,491655,462368,
-401551,491623,462248,
-401898,491539,462148,
-402343,491508,462102,
-402819,491452,461967,
-403200,491374,461930,
-403404,491329,461868,
-403434,491338,461845,
-403367,491238,461743,
-403313,491174,461663,
-403378,491082,461578,
-403615,490965,461494,
-403978,490924,461506,
-404336,490899,461379,
-404565,490786,461278,
-404648,490739,461257,
-404675,490715,461263,
-404739,490652,461212,
-404849,490639,461178,
-404964,490629,461215,
-405088,490654,461233,
-405283,490655,461219,
-405577,490658,461265,
-405881,490650,461309,
-406064,490574,461248,
-406108,490600,461337,
-406143,490568,461254,
-406310,490509,461285,
-406596,490554,461368,
-406835,490621,461404,
-406884,490562,461459,
-406766,490622,461453,
-406639,490649,461568,
-406636,490627,461602,
-406773,490622,461565,
-406970,490764,461706,
-407126,490712,461765,
-407161,490754,461773,
-407029,490757,461809,
-406760,490820,461810,
-406472,490750,461848,
-406315,490743,461881,
-406361,490721,461853,
-406543,490717,461825,
-406737,490690,461858,
-406882,490697,461805,
-407018,490660,461812,
-407216,490587,461850,
-407483,490607,461800,
-407771,490518,461815,
-408035,490535,461768,
-408261,490491,461753,
-408415,490561,461767,
-408412,490519,461772,
-408180,490458,461756,
-407775,490423,461695,
-407391,490399,461754,
-407235,490418,461746,
-407372,490361,461730,
-407706,490385,461709,
-408075,490346,461748,
-408378,490374,461760,
-408589,490409,461782,
-408715,490384,461764,
-408778,490469,461848,
-408832,490437,461913,
-408940,490448,461830,
-409096,490424,461790,
-409180,490454,461863,
-409038,490457,461885,
-408639,490447,461944,
-408135,490462,461931,
-407747,490512,462081,
-407593,490570,462111,
-407635,490533,462103,
-407768,490512,462211,
-407933,490546,462305,
-408133,490614,462289,
-408368,490670,462446,
-408606,490716,462515,
-408816,490777,462653,
-409005,490893,462689,
-409193,490903,462801,
-409359,491008,462886,
-409448,491107,463020,
-409435,491201,463115,
-409371,491239,463128,
-409335,491272,463219,
-409346,491314,463341,
-409353,491363,463402,
-409312,491440,463523,
-409246,491487,463606,
-409204,491565,463646,
-409165,491579,463752,
-409043,491623,463779,
-408795,491724,463944,
-408523,491792,463993,
-408407,491859,464059,
-408537,491886,464124,
