ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
-268085,508634,737873,
-268154,508619,737862,
-268305,508585,737787,
-268515,508589,737793,
-268699,508512,737893,
-268767,508587,737823,
-268643,508604,737869,
-268251,508567,737854,
-267532,508601,737934,
-266501,508571,737882,
-265313,508652,738004,
-264231,508632,737946,
-263524,508677,737919,
-263362,508651,737948,
-263802,508657,737930,
-264824,508715,737974,
-266330,508658,738040,
-268104,508633,738008,
-269797,508666,737986,
-271023,508654,738021,
-271529,508663,737931,
-271302,508594,737973,
-270535,508634,737991,
-269523,508558,737954,
-268560,508578,737948,
-267872,508599,737905,
-267567,508638,738000,
-267604,508590,738011,
-267813,508691,738115,
-268000,508673,738081,
-268052,508681,738050,
-267971,508712,738124,
-267816,508737,738135,
-267654,508720,738117,
-267533,508684,738047,
-267486,508633,738053,
-267504,508464,738121,
-267516,508584,738042,
-267426,508651,738112,
-267201,508648,738140,
-266917,508682,738146,
-266696,508670,738200,
-266583,508695,738192,
-266493,508691,738199,
-266283,508658,738225,
-265879,508599,738106,
-265341,508572,738079,
-264802,508596,738158,
-264366,508540,738096,
-264062,508477,738064,
-263861,508472,738020,
-263716,508422,737935,
-263559,508346,737885,
-263298,508230,737756,
-262851,508186,737677,
-262230,508155,737708,
-261589,508142,737540,
-261162,508082,737533,
-261128,508056,737478,
-261486,508044,737468,
-262051,508004,737425,
-262551,507954,737380,
-262777,507898,737211,
-262679,507887,737238,
-262382,507858,737220,
-262118,507805,737175,
-262113,507800,737129,
-262476,507761,737122,
-263146,507747,737119,
-263943,507733,737060,
-264679,507690,737108,
-265243,507774,737132,
-265622,507642,737129,
-265860,507640,737120,
-266029,507696,737094,
-266207,507720,737237,
-266452,507744,737119,
-266753,507673,737151,
-267014,507710,737093,
-267115,507714,737153,
-267017,507703,737143,
-266817,507714,737169,
-266678,507710,737182,
-266704,507745,737236,
-266868,507763,737216,
-267054,507738,737216,
-267158,507767,737250,
-267157,507742,737197,
-267097,507729,737220,
-267048,507744,737236,
-267064,507776,737253,
-267155,507779,737319,
-267265,507639,737326,
-267284,507688,737287,
-267118,507719,737300,
-266779,507836,737416,
-266409,507800,737385,
-266192,507771,737381,
-266220,507805,737428,
-266436,507889,737513,
-266695,507836,737464,
-266887,507777,737484,
-267000,507812,737514,
-267081,507923,737551,
-267161,507922,737544,
-267228,507908,737598,
-267261,507917,737583,
-267268,507918,737706,
-267264,507934,737630,
-267224,507912,737629,
-267079,507960,737698,
-266776,507992,737727,
-266341,508067,737853,
-265887,507999,737771,
-265541,508094,737852,
-265358,508017,737873,
-265295,508062,737931,
-265256,508094,737908,
-265171,508111,737849,
-265045,508100,737979,
-264957,508111,738050,
-265001,508029,737992,
-265219,508098,738024,
-265577,508114,738012,
-265996,508061,738019,
-266404,508087,738029,
-266759,508119,738097,
-267035,508132,738017,
-267207,508130,738109,
-267270,508030,738005,
-267267,508099,738120,
-267272,508101,738159,
-267323,508186,738107,
-267384,508122,738093,
-267384,507971,738104,
-267316,508057,738134,
-267275,508034,738150,
-267380,508085,738092,
-267641,508097,738160,
-267887,508147,738184,
-267849,508153,738302,
-267321,508226,738280,
-266279,508225,738317,
-264907,508244,738356,
-263518,508236,738462,
-262450,508214,738393,
-261964,508250,738376,
-262169,508288,738416,
-263001,508290,738491,
-264288,508249,738342,
-265829,508167,738414,
-267428,508259,738470,
-268853,508304,738478,
-269832,508281,738390,
-270141,508298,738444,
-269746,508248,738477,
-268855,508304,738484,
-267809,508265,738505,
-266896,508296,738486,
-266265,508366,738501,
-265957,508351,738535,
-265964,508317,738553,
-266216,508319,738510,
-266551,508295,738458,
-266763,508268,738464,
-266190,508210,738388,
-266007,508181,738444,
-265963,508142,738467,
-265968,508116,738488,
-265891,508151,738414,
-265641,508127,738360,
-265209,508168,738474,
-264675,508184,738455,
-264177,508210,738472,
-263866,508232,738531,
-263827,508245,738621,
-264031,508194,738546,
-264335,508201,738571,
-264553,508205,738540,
-264560,508180,738616,
-264337,508094,738562,
-263942,507933,738426,
-263440,508070,738500,
-262868,507979,738402,
-262251,507945,738368,
-261635,507903,738339,
-261095,507901,738225,
-260694,507808,738234,
-260451,507793,738140,
-260336,507592,738111,
-260287,507669,738076,
-260242,507670,738025,
-260176,507699,737995,
-260136,507645,737957,
-260219,507634,737914,
-260496,507610,737987,
-260939,507590,737937,
-261420,507525,737855,
-261808,507436,737859,
-262057,507547,737805,
-262213,507497,737819,
-262352,507453,737800,
-262527,507437,737695,
-262771,507417,737786,
-263104,507450,737743,
-263521,507436,737736,
-263961,507472,737714,
-264337,507456,737744,
-264594,507455,737754,
-264749,507437,737804,
-264854,507441,737776,
-264932,507469,737771,
-264959,507458,737801,
-264654,507539,737984,
-264557,507456,737996,
-264497,507447,737992,
-264458,507484,738015,
-264420,507543,737918,
-264365,507491,738001,
-264268,507479,737974,
-264114,507492,737914,
-263941,507503,737963,
-263838,507479,737963,
-263876,507413,737923,
-264038,507478,738004,
-264238,507508,738043,
-264408,507458,737991,
-264552,507451,738059,
-264695,507507,737992,
-264801,507507,738062,
-264779,507336,738017,
-264594,507437,738002,
-264332,507518,738038,
-264133,507476,738050,
-264052,507563,738065,
-264013,507545,738086,
-263909,507547,738145,
-263729,507548,738177,
-263562,507465,738205,
-263473,507512,738121,
-263421,507599,738161,
-263293,507622,738304,
-263025,507679,738363,
-262671,507695,738240,
-262364,507676,738304,
-262216,507725,738360,
-262259,507636,738439,
-262436,507658,738364,
-262653,507757,738410,
-262823,507769,738470,
-262903,507730,738456,
-262909,507758,738516,
-262906,507712,738459,
-262972,507740,738450,
-263152,507780,738468,
-263434,507761,738529,
-263756,507685,738426,
-264044,507752,738569,
-264240,507823,738585,
-264308,507781,738582,
-264235,507780,738534,
-264039,507856,738631,
-263789,507873,738639,
-263585,507856,738693,
-263496,507896,738677,
-263507,507878,738746,
-263525,507865,738697,
-263445,507867,738761,
-263214,507896,738739,
-262833,507880,738750,
-262306,507898,738840,
-261648,507926,738788,
-260942,507931,738942,
-260378,507979,738927,
-260199,507983,738897,
-260575,507982,738901,
-261501,508015,738941,
-262804,508016,738957,
-264203,508063,739041,
-265387,507934,738993,
-266088,507984,739014,
-266176,508033,739037,
-265727,508021,739070,
-264993,508026,739044,
-264266,507993,739001,
-263729,508042,739054,
-263405,508026,739051,
-263218,507886,739048,
-263088,508021,739020,
-262965,508004,739062,
-262826,508024,739084,
-262666,508035,739106,
-262504,508065,739142,
-262382,508077,739020,
-262328,508061,739163,
-262332,508046,739011,
-262363,507983,739101,
-262408,508132,739126,
-262469,508136,739226,
-262516,508134,739157,
-262456,508089,739163,
-262185,508182,739267,
-261705,508156,739252,
-261174,508124,739194,
-260828,508140,739252,
-260808,508134,739292,
-261047,508105,739216,
-261302,508102,739288,
-261299,508066,739160,
-260901,508125,739168,
-260178,508033,739168,
-259361,508019,739175,
-258715,508030,739142,
-258394,507999,739133,
-258370,507916,738989,
-258477,507905,738909,
-258531,507860,738946,
-258442,507853,738918,
-258237,507800,738896,
-258001,507759,738838,
-257805,507738,738805,
-257682,507691,738713,
-257633,507667,738744,
-257638,507623,738667,
-257666,507570,738603,
-257702,507525,738574,
-257792,507530,738542,
-258036,507473,738501,
-258508,507359,738499,
-259159,507479,738541,
-259802,507508,738478,
-260231,507485,738396,
-260374,507489,738512,
-260344,507485,738525,
-260350,507452,738500,
-260540,507425,738480,
-260921,507381,738468,
-261372,507429,738435,
-261739,507332,738452,
-261914,507394,738423,
-261880,507418,738450,
-261706,507382,738505,
-261500,507413,738504,
-261352,507368,738467,
-261291,507409,738449,
-261278,507354,738533,
-261248,507423,738570,
-261168,507409,738576,
-261052,507453,738568,
-260945,507484,738627,
-260877,507499,738585,
-260859,507447,738575,
-260901,507425,738595,
-261026,507486,738698,
-261231,507485,738594,
-261460,507462,738633,
-261613,507469,738642,
-261616,507482,738646,
-261470,507530,738783,
-261251,507503,738734,
-261041,507508,738753,
-260880,507526,738771,
-260751,507538,738842,
-260609,507444,738752,
-260423,507513,738786,
-260195,507438,738789,
-259954,507483,738722,
-259731,507516,738826,
-259553,507476,738810,
-259451,507501,738854,
-259470,507494,738902,
-259639,507395,738873,
-259935,507512,738850,
-260260,507504,738808,
-260481,507466,738828,
-260506,507516,738936,
-260347,507535,738890,
-260126,507560,739007,
-260017,507561,738978,
-260147,507564,738946,
-260513,507558,738994,
-260979,507584,739088,
-261354,507571,739022,
-261511,507544,738968,
-261459,507484,739023,
-261314,507430,739042,
-261215,507468,739007,
-261257,507558,739003,
-261452,507559,739093,
-261734,507583,739166,
-261984,507602,739101,
-262094,507607,739147,
-262022,507618,739156,
-261794,507597,739209,
-261439,507644,739208,
-260926,507653,739292,
-260194,507594,739250,
-259286,507633,739288,
-258416,507689,739304,
-257895,507637,739311,
-257934,507666,739377,
-258527,507785,739470,
-259506,507772,739503,
-260680,507776,739547,
-261910,507832,739573,
-263061,507859,739595,
-263946,507877,739593,
-264379,507850,739565,
-264279,507851,739553,
-263735,507813,739605,
-262938,507893,739612,
-260776,507796,739622,
-260549,507829,739594,
-260638,507871,739616,
-260917,507828,739677,
-261187,507840,739618,
-261307,507893,739673,
-261266,507827,739770,
-261155,507844,739725,
-261067,507844,739736,
-261034,507815,739704,
-261028,507868,739767,
-260997,507818,739764,
-260885,507862,739746,
-260655,507839,739734,
-260323,507827,739800,
-259980,507782,739793,
-259760,507833,739774,
-259728,507873,739804,
-259812,507778,739828,
-259833,507698,739840,
-259650,507707,739808,
-259278,507756,739904,
-258863,507797,739803,
-258546,507751,739890,
-258357,507714,739809,
-258224,507689,739789,
-258067,507577,739766,
-257865,507588,739708,
-257644,507592,739672,
-257432,507562,739671,
-257225,507475,739637,
-257004,507357,739575,
-256748,507404,739490,
-256455,507282,739437,
-256164,507190,739399,
-255965,507223,739433,
-255964,507183,739365,
-256216,507225,739249,
-256668,507160,739277,
-257197,507139,739271,
-257690,507072,739218,
-258103,507073,739179,
