ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
-799166,406507,506236,
-799008,406455,506049,
-798833,406318,505892,
-798645,406228,505656,
-798423,406133,505512,
-798119,406070,505384,
-797736,405964,505222,
-797385,405924,505027,
-797229,405845,504889,
-797340,405737,504770,
-797620,405771,504647,
-797864,405663,504573,
-797920,405584,504394,
-797782,405480,504303,
-797559,405475,504210,
-797369,405388,504109,
-797271,405321,504070,
-797277,405347,504029,
-797382,405310,503943,
-797578,405320,503880,
-797857,405283,503904,
-798212,405308,503937,
-798618,405327,503905,
-799008,405374,503921,
-799265,405388,503875,
-799282,405428,503910,
-799051,405412,503852,
-798700,405447,503971,
-798419,405471,503931,
-798318,405450,503916,
-798361,405415,503915,
-798417,405422,503952,
-798388,405416,503968,
-798270,405404,503985,
-798108,405424,504055,
-797933,405447,504075,
-797749,405483,504115,
-797579,405504,504158,
-797486,405552,504265,
-797530,405554,504267,
-797707,405561,504346,
-797956,405542,504475,
-798204,405646,504549,
-798406,405688,504602,
-798522,405661,504707,
-798503,405740,504815,
-798319,405830,504878,
-798021,405797,504886,
-797738,405830,505066,
-797595,405887,505182,
-797631,405932,505231,
-797799,405993,505309,
-798032,406019,505425,
-798293,406142,505491,
-798559,406180,505603,
-798786,406148,505695,
-798901,406244,505763,
-798859,406264,505795,
-798682,406224,505905,
-798463,406294,505982,
-798327,406337,506029,
-798368,406344,506118,
-798604,406394,506177,
-798951,406399,506214,
-799262,406448,506345,
-799419,406494,506434,
-799407,406480,506446,
-799290,406568,506539,
-799099,406589,506541,
-798744,406657,506725,
-798079,406750,506874,
-797088,406829,506863,
-796012,406817,507014,
-795285,406861,507062,
-795309,406916,507231,
-796231,406940,507340,
-797869,406976,507402,
-799793,407048,507419,
-801479,407106,507562,
-802491,407059,507644,
-802636,407170,507715,
-802050,407211,507770,
-801127,407236,507925,
-800307,407302,507937,
-799846,407307,508072,
-799733,407445,508183,
-799787,407470,508251,
-799837,407455,508289,
-799825,407562,508394,
-799772,407582,508550,
-799703,407636,508646,
-799615,407711,508780,
-799516,407769,508828,
-799441,407847,508912,
-799432,407825,508965,
-799491,407843,508960,
-799567,407900,508866,
-799595,407863,508878,
-799533,407818,508779,
-799389,407691,508653,
-799206,407715,508517,
-799043,407649,508383,
-798952,407585,508240,
-798946,407471,507933,
-798984,407319,507802,
-798986,407252,507538,
-798893,407162,507328,
-798714,407023,507150,
-798506,406926,506985,
-798308,406857,506819,
-798109,406792,506613,
-797887,406712,506412,
-797668,406618,506241,
-797523,406514,506104,
-797500,406415,505894,
-797577,406286,505703,
-797694,406277,505565,
-797825,406252,505500,
-797993,406127,505411,
-798223,406107,505265,
-798483,406094,505174,
-798711,406082,505098,
-798879,406031,504987,
-799016,406008,504869,
-799149,405944,504832,
-799258,405946,504780,
-799304,405935,504710,
-799311,405889,504642,
-799382,405867,504542,
-799609,405800,504483,
-799967,405743,504467,
-800303,405704,504395,
-800457,405730,504344,
-800383,405696,504298,
-800171,405721,504389,
-799954,405707,504380,
-799826,405672,504402,
-799818,405667,504428,
-799934,405680,504421,
-800157,405779,504559,
-800443,405793,504652,
-800719,405775,504674,
-800924,405812,504722,
-801033,405919,504850,
-801044,405958,504845,
-800957,405964,504933,
-800788,405990,505054,
-800605,406049,505094,
-800514,406063,505163,
-800578,406106,505288,
-800747,406144,505338,
-800894,406163,505434,
-800931,406217,505455,
-800874,406276,505531,
-800799,406309,505661,
-800751,406330,505666,
-800591,406461,505778,
-800639,406395,505837,
-800848,406482,505800,
-801200,406495,505939,
-801605,406569,505934,
-801966,406588,506048,
-802220,406630,506099,
-802344,406663,506154,
-802346,406721,506249,
-802270,406746,506349,
-802195,406717,506452,
-802187,406820,506421,
-802252,406838,506488,
-802336,406805,506619,
-802390,406868,506669,
-802438,406901,506715,
-802549,406913,506740,
-802723,406938,506826,
-802804,406970,506928,
-802509,406998,506936,
-801600,406974,507041,
-800079,407017,507069,
-798294,407041,507115,
-796859,407096,507145,
-796404,407109,507266,
-797268,407151,507350,
-799292,407191,507406,
-801855,407225,507409,
-804164,407319,507582,
-805614,407354,507743,
-806005,407382,507752,
-805528,407363,507829,
-804578,407497,507931,
-803570,407502,508031,
-802808,407566,508091,
-802439,407648,508208,
-802426,407679,508352,
-802591,407737,508492,
-802730,407870,508599,
-802743,407866,508657,
-802670,407942,508807,
-802611,408016,508895,
-802602,408030,509005,
-802577,408036,509121,
-802453,408050,509164,
-802233,408001,509189,
-802016,407941,509173,
-801918,407908,509072,
-802146,407870,508748,
-802060,407745,508663,
-801792,407657,508376,
-801384,407562,508310,
-800933,407430,508007,
-800566,407340,507762,
-800381,407185,507594,
-800408,407142,507390,
-800589,407019,507162,
-800809,406866,506926,
-800939,406774,506810,
-800887,406685,506565,
-800630,406557,506366,
-800239,406522,506156,
-799845,406376,506018,
-799567,406298,505844,
-799443,406229,505648,
-799430,406173,505550,
-799465,406094,505334,
-799526,406012,505258,
-799640,405931,505146,
-799831,405926,505050,
-800091,405829,504884,
-800386,405806,504870,
-800687,405826,504825,
-800981,405789,504748,
-801257,405778,504680,
-801491,405759,504690,
-801658,405756,504601,
-801751,405716,504549,
-801789,405732,504485,
-801809,405684,504494,
-801844,405702,504471,
-801908,405727,504509,
-801995,405741,504436,
-802087,405775,504490,
-802161,405809,504530,
-802204,405805,504563,
-802226,405846,504548,
-802241,405850,504618,
-802245,405890,504667,
-802203,405963,504734,
-802089,406041,504740,
-801933,406030,504876,
-801834,406076,504967,
-801894,406104,505039,
-802112,406171,505139,
-802357,406257,505150,
-802467,406294,505243,
-802401,406335,505357,
-802284,406393,505438,
-802298,406467,505500,
-802510,406508,505571,
-802818,406548,505588,
-803047,406628,505820,
-803093,406703,505855,
-802972,406713,505882,
-802763,406665,505994,
-802543,406710,506106,
-802385,406797,506101,
-802379,406790,506138,
-802601,406790,506208,
-803036,406814,506183,
-803543,406814,506247,
-803929,406751,506248,
-804061,406728,506321,
-803931,406801,506438,
-803627,406781,506466,
-803273,406799,506467,
-803002,406789,506545,
-802929,406769,506612,
-803114,406811,506663,
-803513,406840,506759,
-803997,406840,506800,
-804420,406941,506935,
-804686,406926,507009,
-804750,406987,507117,
-804562,406998,507173,
-804057,407011,507161,
-803214,407049,507298,
-802152,407053,507452,
-801142,407107,507431,
-800529,407135,507573,
-800594,407201,507676,
-801436,407247,507769,
-802909,407277,507893,
-804627,407348,507953,
-806082,407372,507997,
-806851,407438,508101,
-806806,407451,508177,
-806170,407515,508224,
-805364,407585,508324,
-804746,407659,508399,
-804435,407648,508456,
-804326,407670,508581,
-804221,407780,508684,
-803969,407827,508695,
-803539,407824,508752,
-803027,407826,508800,
-802605,407875,508818,
-802421,407825,508873,
-802495,407881,508900,
-802698,407898,508965,
-802842,407916,509011,
-802825,407957,509077,
-802684,407989,509082,
-802532,407937,508956,
-802442,407876,508929,
-802402,407807,508818,
-802363,407737,508619,
-802323,407682,508493,
-802328,407632,508354,
-802405,407571,508153,
-802507,407439,507941,
-802545,407373,507829,
-802456,407250,507604,
-802252,407185,507370,
-801988,407114,507140,
-801713,407005,506961,
-801458,406930,506816,
-801244,406870,506639,
-801092,406775,506484,
-800995,406689,506288,
-800909,406534,506118,
-800794,406457,505927,
-800660,406368,505713,
-800565,406225,505606,
-800559,406180,505451,
-800639,406147,505285,
-800759,406071,505188,
-800869,405975,504977,
-800940,405899,504920,
-800959,405823,504826,
-800949,405769,504667,
-800988,405647,504596,
-801192,405713,504582,
-801633,405682,504500,
-802250,405645,504477,
-802873,405600,504364,
-803343,405600,504398,
-803612,405567,504356,
-803731,405570,504380,
-803761,405609,504351,
-803710,405550,504333,
-803583,405611,504336,
-803443,405597,504322,
-803386,405653,504367,
-803441,405640,504416,
-803511,405614,504374,
-803456,405639,504380,
-803240,405591,504422,
-802986,405666,504432,
-802872,405644,504487,
-802970,405672,504478,
-803189,405720,504615,
-803357,405785,504686,
-803345,405801,504747,
-803147,405824,504804,
-802858,405830,504838,
-802622,405900,504958,
-802556,405955,505061,
-802694,406004,505158,
-802967,406029,505212,
-803251,406140,505251,
-803452,406138,505390,
-803558,406209,505473,
-803610,406236,505552,
-803648,406238,505572,
-803687,406252,505704,
-803754,406349,505728,
-803897,406394,505805,
-804134,406396,505864,
-804400,406461,505943,
-804565,406496,506014,
-804548,406555,506041,
-804402,406574,506164,
-804269,406567,506144,
-804244,406635,506304,
-804296,406673,506375,
-804321,406708,506446,
-804264,406745,506542,
-804176,406804,506591,
-804168,406823,506699,
-804320,406881,506781,
-804611,406931,506778,
-804924,406945,506857,
-805074,407047,506943,
-804868,407079,507032,
-804202,407060,507096,
-803174,407085,507161,
-802105,407142,507199,
-801429,407257,507339,
-801480,407265,507389,
-802320,407347,507467,
-803710,407358,507485,
-805228,407383,507594,
-806448,407470,507698,
-807083,407522,507715,
-805923,407692,507795,
-805360,407668,507946,
-805030,407768,508006,
-804904,407801,507997,
-804875,407858,508084,
-804850,407935,508151,
-804782,407944,508240,
-804656,407983,508370,
-804487,407986,508405,
-804336,408011,508388,
-804298,408065,508448,
-804422,408167,508522,
-804649,408205,508599,
-804834,408229,508710,
-804851,408253,508756,
-804687,408257,508841,
-804428,408248,508857,
-804163,408178,508804,
-803916,408137,508714,
-803671,408122,508551,
-803430,408045,508470,
-803239,408028,508342,
-803139,407893,508243,
-803129,407865,508074,
-803169,407762,507828,
-803220,407635,507687,
-803245,407533,507437,
