ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
966721,395852,464304,
966130,395757,464199,
965606,395612,464011,
965155,395537,463920,
964729,395472,463792,
964305,395435,463658,
963907,395334,463512,
963569,395282,463317,
963287,395179,463247,
963016,395103,463090,
962729,395004,462963,
962450,394959,462860,
962230,394901,462762,
962097,394846,462631,
962028,394804,462473,
961983,394667,462382,
961940,394619,462235,
961904,394587,462119,
961876,394501,462039,
961833,394486,462020,
961737,394345,461856,
961565,394305,461748,
961325,394240,461652,
961057,394230,461618,
960818,394144,461501,
960659,394111,461435,
960600,394050,461337,
960609,393985,461250,
960627,393936,461188,
960617,393898,461126,
960593,393856,460999,
960591,393799,460894,
960603,393727,460842,
960561,393685,460742,
960394,393633,460722,
960107,393598,460551,
959786,393559,460563,
959541,393532,460502,
959424,393447,460417,
959415,393461,460336,
959459,393498,460305,
959505,393361,460291,
959525,393391,460239,
959508,393427,460214,
959452,393404,460200,
959353,393413,460230,
959204,393410,460209,
959000,393418,460222,
958755,393464,460260,
958501,393514,460295,
958266,393537,460310,
958035,393598,460412,
957743,393671,460547,
957341,393798,460597,
956862,393803,460661,
956431,393858,460718,
956166,393954,460863,
956069,394065,461040,
956009,394117,461052,
955831,394196,461185,
955511,394246,461248,
955212,394352,461375,
955208,394427,461449,
955737,394507,461567,
956868,394567,461741,
958461,394683,461737,
960207,394724,461864,
961732,394797,461893,
962712,394837,461956,
962933,394943,462099,
962299,395047,462219,
960833,395087,462300,
958704,395196,462412,
956265,395284,462514,
954009,395321,462631,
952407,395401,462754,
951714,395484,462854,
951859,395523,462930,
952510,395675,463103,
953254,395747,463165,
953779,395810,463272,
953961,395875,463425,
953856,395983,463474,
953616,396078,463566,
953394,396104,463704,
953268,396143,463692,
953226,396090,463628,
953203,396037,463562,
953136,395941,463450,
952990,395821,463269,
952759,395670,463027,
952465,395541,462776,
952158,395383,462515,
951911,395144,462152,
951776,394924,461824,
951754,394722,461445,
951796,394502,461124,
951838,394327,460784,
951839,394060,460325,
951791,393769,459908,
951710,393537,459484,
951622,393202,458973,
951547,392925,458538,
951488,392701,458091,
951445,392367,457646,
951430,392161,457217,
951475,391857,456774,
951608,391620,456342,
951821,391362,455932,
952071,391198,455580,
952307,390962,455214,
952501,390721,454826,
952635,390550,454536,
952682,390357,454271,
952611,390177,453950,
951808,389773,453691,
951516,389639,453452,
951247,389570,453274,
950963,389487,453029,
950620,389439,452864,
950190,389396,452662,
949654,389317,452644,
949005,389326,452464,
948264,389231,452306,
947518,389232,452250,
946910,389242,452187,
946553,389227,452126,
946436,389207,452077,
946407,389277,452075,
946277,389326,452048,
945961,389289,452075,
945520,389349,452082,
945081,389392,452163,
944728,389408,452157,
944458,389461,452169,
944226,389528,452214,
944008,389540,452276,
943813,389642,452308,
943663,389660,452372,
943574,389727,452472,
943541,389781,452535,
943522,389811,452572,
943434,389872,452648,
943200,389935,452687,
942810,389982,452759,
942348,390037,452830,
941942,390052,452876,
941675,390119,452974,
941543,390170,453003,
941480,390174,453053,
941420,390174,453087,
941329,390246,453133,
941197,390239,453214,
941038,390323,453216,
940880,390299,453264,
940760,390305,453261,
940687,390271,453293,
940620,390256,453304,
940496,390261,453271,
940291,390272,453299,
940061,390268,453255,
939893,390286,453248,
939822,390263,453194,
939423,390258,453156,
938999,390197,453115,
938462,390181,453082,
937890,390230,453127,
937358,390121,453041,
936929,390149,452988,
936629,390139,452980,
936439,390109,452908,
936312,390073,452905,
936204,390021,452905,
936092,390022,452856,
935953,390001,452871,
935738,389997,452781,
935386,389935,452667,
934875,389914,452685,
934259,389899,452639,
933685,389890,452650,
933376,389875,452587,
933579,389841,452494,
934465,389806,452520,
936017,389856,452442,
937964,389820,452436,
939854,389740,452351,
941227,389734,452383,
941782,389686,452382,
941420,389681,452391,
940189,389703,452335,
938250,389717,452348,
935897,389690,452361,
933561,389671,452354,
931698,389633,452351,
930599,389694,452386,
930263,389665,452322,
930440,389674,452408,
930784,389756,452486,
931026,389784,452535,
931048,389777,452525,
930863,389796,452609,
930558,389857,452662,
930241,389834,452744,
929996,389879,452776,
929868,389877,452772,
929851,389850,452684,
929903,389726,452608,
929964,389665,452490,
929985,389499,452261,
929944,389282,451940,
929849,389115,451706,
929727,388876,451356,
929610,388681,450998,
929519,388385,450631,
929458,388190,450317,
929412,387847,449842,
929358,387542,449402,
929283,387296,448979,
