ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
-8758,246312,387217,
-8999,246356,387415,
-9226,246474,387525,
-9570,246505,387668,
-10090,246551,387789,
-10742,246613,387961,
-11386,246676,388125,
-11863,246730,388270,
-12087,246785,388396,
-12090,246880,388602,
-11965,246918,388812,
-11786,246963,388918,
-11596,247009,389122,
-11437,247148,389225,
-11365,247205,389368,
-11404,247258,389586,
-11508,247348,389756,
-11588,247362,389897,
-11600,247437,390009,
-11594,247465,390198,
-11652,247504,390273,
-11789,247614,390415,
-11921,247643,390536,
-11950,247664,390661,
-11867,247709,390745,
-11755,247713,390886,
-11687,247789,390935,
-11645,247836,391024,
-11561,247834,391098,
-11425,247864,391194,
-11319,247882,391255,
-11342,247907,391320,
-11513,247953,391329,
-11773,247973,391408,
-12079,247937,391469,
-12447,247929,391470,
-12892,247995,391508,
-13342,247986,391551,
-13631,247946,391541,
-13603,247972,391519,
-13221,247968,391527,
-12577,247983,391564,
-11846,247956,391529,
-11217,247986,391499,
-10863,247954,391505,
-10896,247963,391475,
-11308,247987,391508,
-11923,247966,391459,
-12461,247949,391460,
-12701,247959,391490,
-12634,247935,391525,
-12477,248011,391532,
-12496,248006,391565,
-12800,247985,391595,
-13253,248041,391694,
-13577,248046,391704,
-13554,248010,391703,
-13174,248097,391766,
-12639,248062,391807,
-12242,248069,391831,
-12172,248106,391886,
-12379,248118,391973,
-12603,248159,392058,
-12572,248194,392091,
-12224,248237,392193,
-11756,248307,392302,
-11460,248299,392412,
-11513,248374,392464,
-11888,248424,392545,
-12407,248459,392608,
-12870,248445,392760,
-13141,248550,392821,
-13198,248565,392875,
-13124,248628,392983,
-13043,248690,393225,
-13023,248696,393250,
-13025,248765,393363,
-12975,248789,393439,
-12879,248828,393549,
-12860,248935,393640,
-13047,248946,393794,
-13433,249043,393923,
-13854,249095,394024,
-14109,249144,394177,
-14079,249183,394318,
-13754,249225,394394,
-13185,249334,394498,
-12475,249353,394604,
-11815,249378,394740,
-11471,249445,394822,
-11661,249471,394888,
-12402,249486,394997,
-13485,249534,395041,
-14607,249518,395102,
-15522,249575,395147,
-16100,249589,395220,
-16278,249599,395283,
-16035,249632,395357,
-15440,249652,395411,
-14690,249711,395469,
-14035,249750,395567,
-13602,249731,395647,
-13310,249766,395659,
-12980,249773,395777,
-12539,249814,395825,
-12098,249867,395889,
-11834,249830,395966,
-11829,249899,396058,
-12530,250000,396155,
-12707,250060,396263,
-12784,250096,396313,
-12752,250150,396434,
-12644,250197,396585,
-12498,250250,396628,
-12293,250241,396766,
-11963,250275,396815,
-11491,250232,396872,
-10993,250190,396889,
-10667,250125,396829,
-10626,250106,396733,
-10798,249981,396631,
-11007,249854,396444,
-11136,249713,396228,
-11195,249535,395984,
-11220,249354,395598,
-11154,249142,395223,
-10884,249014,394842,
-10385,248754,394344,
-9804,248572,393820,
-9366,248307,393347,
-9203,248152,392736,
-9280,248016,392115,
-9440,247828,391620,
-9510,247674,391155,
-9366,247566,390697,
-8982,247520,390312,
-8454,247409,389961,
-7966,247371,389747,
-7667,247336,389476,
-7537,247276,389293,
-7392,247279,389168,
-7065,247318,389093,
-6600,247312,389022,
-6260,247351,388942,
-6307,247390,388981,
-6775,247425,389024,
-7449,247523,389112,
-8052,247643,389224,
-8454,247785,389397,
-8696,247841,389593,
-8876,248016,389829,
-9048,248137,389987,
-9221,248266,390172,
-9422,248359,390505,
-9707,248476,390681,
-10124,248588,390888,
-11760,248705,391558,
-12068,248820,391737,
-12127,248960,391973,
-12010,249047,392291,
-11882,249179,392505,
-11883,249249,392661,
-12000,249387,392896,
-12072,249534,393514,
