ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
-122698,364481,638308,
-123390,364524,638461,
-124032,364588,638529,
-124642,364668,638708,
-125222,364698,638842,
-125706,364800,638968,
-125989,364887,639100,
-126029,364978,639173,
-125936,364973,639372,
-125923,365084,639473,
-126143,365081,639595,
-126581,365118,639650,
-127099,365224,639750,
-127555,365280,639896,
-127889,365292,639921,
-128108,365371,639931,
-128250,365457,640138,
-128367,365497,640239,
-128523,365591,640363,
-128745,365621,640399,
-128987,365656,640512,
-129168,365680,640541,
-129288,365685,640551,
-129464,365727,640583,
-129820,365719,640634,
-130320,365731,640680,
-130752,365757,640734,
-130914,365812,640696,
-130802,365764,640732,
-130610,365796,640744,
-130546,365802,640753,
-130668,365800,640869,
-130900,365863,640924,
-131165,365871,640901,
-131452,365860,640895,
-131772,365881,640891,
-132081,365836,640960,
-132292,365865,641019,
-132366,365860,640999,
-132334,365921,641112,
-132242,365901,641153,
-132060,365919,641114,
-131706,365933,641183,
-131144,365940,641273,
-130474,366018,641317,
-129908,366054,641304,
-129664,365993,641281,
-129872,366051,641411,
-130537,366055,641458,
-131528,366069,641565,
-132580,366079,641529,
-133382,366135,641567,
-133724,366107,641588,
-133633,366131,641655,
-133339,366118,641691,
-133081,366102,641705,
-132938,366147,641666,
-132833,366158,641749,
-132679,366158,641834,
-132489,366138,641774,
-132337,366111,641817,
-132255,366126,641827,
-132229,366115,641871,
-132254,366133,641949,
-132350,366243,641898,
-132491,366190,641980,
-132558,366144,641952,
-132434,366189,641989,
-132146,366078,641879,
-131859,366064,641842,
-131719,366027,641727,
-131724,365950,641548,
-131765,365813,641295,
-131778,365712,641004,
-131801,365584,640706,
-131878,365407,640349,
-131954,365199,639956,
-131895,364886,639238,
-131626,364613,638568,
-131214,364226,637799,
-130812,363903,636930,
-130544,363577,636194,
-130439,363249,635409,
-130456,362979,634818,
-130536,362718,634247,
-130609,362523,633891,
-130619,362394,633450,
-130554,362242,633162,
-130473,362117,632888,
-130446,362090,632771,
-130463,362007,632527,
-130424,362007,632517,
-130254,361952,632421,
-130021,361964,632317,
-129897,361997,632379,
-129971,362015,632445,
-130125,362119,632539,
-130136,362076,632609,
-129896,362190,632690,
-129529,362200,632817,
-129271,362335,633084,
-129276,362357,633248,
-129524,362470,633508,
-129891,362627,633731,
-130236,362673,634066,
-130440,362873,634440,
-130419,363002,634706,
-130191,363112,634972,
-129917,363272,635350,
-129820,363387,635703,
-129996,363521,635984,
-130317,363645,636268,
-130542,363816,636585,
-130542,363875,636851,
-130406,363930,636992,
-130336,364011,637206,
-130453,364067,637448,
-130733,364189,637635,
-131072,364234,637744,
-131361,364254,637845,
-131502,364318,638038,
-131409,364388,638148,
-131055,364465,638216,
-130530,364445,638341,
-129996,364541,638492,
-129579,364558,638671,
-129311,364673,638744,
-129183,364693,638867,
-129221,364719,638884,
-129471,364769,639055,
-129904,364803,639083,
-130377,364875,639145,
-130708,364899,639219,
-130805,364919,639363,
-130706,364936,639335,
-130520,364960,639319,
-130346,364968,639421,
-130246,364967,639442,
-130252,364966,639367,
-130355,364980,639489,
-130484,365012,639475,
-130532,365015,639541,
-130444,365088,639583,
-130271,365070,639589,
-130123,365113,639653,
-130034,365123,639707,
-129926,365131,639761,
-129715,365179,639782,
-129464,365215,639852,
-129377,365166,639839,
-129611,365185,639856,
