ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
264055,436152,389734,
264013,436195,389827,
264114,436267,389936,
264287,436337,390015,
264376,436370,390112,
264325,436463,390221,
264236,436500,390246,
264251,436534,390320,
264392,436615,390389,
264553,436622,390525,
264639,436746,390556,
264657,436770,390701,
264663,436857,390799,
264674,436910,390835,
264666,436995,390860,
264655,437014,391020,
264725,437136,391099,
264947,437209,391178,
265297,437231,391265,
265667,437212,391276,
265967,437321,391370,
266171,437332,391426,
266266,437362,391484,
266209,437470,391527,
265969,437466,391625,
265608,437528,391726,
265268,437565,391746,
265054,437624,391848,
264947,437666,391913,
264868,437762,391986,
264811,437768,392054,
264861,437837,392203,
265062,437877,392262,
265298,437965,392365,
265373,438016,392361,
265227,438128,392468,
265029,438128,392592,
265042,438231,392711,
265382,438281,392757,
265939,438353,392835,
266520,438418,392916,
267025,438488,392997,
267479,438514,393083,
267925,438586,393170,
268317,438694,393323,
268539,438718,393396,
268488,438809,393465,
268161,438887,393537,
267682,438944,393688,
267253,439056,393760,
267047,439065,393811,
267015,439200,393854,
266535,439223,393950,
265885,439308,394062,
265388,439390,394054,
265250,439393,394081,
265398,439466,394216,
265592,439525,394244,
265670,439531,394345,
265670,439625,394468,
265725,439710,394492,
265881,439712,394539,
266072,439770,394613,
266226,439900,394713,
266344,439909,394843,
266438,439995,394912,
266455,440085,394983,
266323,440143,395069,
266089,440134,395199,
265949,440206,395280,
266082,440303,395284,
266465,440359,395387,
266893,440430,395501,
267178,440446,395599,
267307,440520,395634,
267375,440617,395718,
267424,440657,395862,
267395,440689,395950,
267250,440697,395958,
267077,440661,396013,
267031,440526,396074,
267193,440459,396062,
267525,440235,395968,
267952,440005,395847,
268443,439703,395624,
268977,439358,395275,
269456,438988,394871,
269726,438478,394452,
269714,437967,393949,
269529,437479,393360,
269383,436985,392679,
269424,436402,391929,
269660,435856,391292,
270035,435362,390594,
270525,434874,389862,
271123,434239,389137,
271760,433725,388443,
272308,433324,387725,
272700,432874,387009,
273673,432421,385201,
273912,431997,384643,
273901,431641,384113,
273655,431264,383597,
273320,430979,383214,
273019,430684,382768,
272758,430461,382460,
272491,430208,382148,
272241,430031,381853,
272082,429857,381663,
272027,429747,381479,
271974,429672,381382,
271800,429554,381251,
271491,429576,381159,
271122,429443,381072,
270743,429473,381011,
270327,429459,381071,
269862,429428,381029,
269457,429490,381071,
269283,429519,381112,
269395,429621,381185,
269654,429687,381142,
269855,429676,381271,
269910,429760,381429,
269880,429838,381470,
269843,429924,381540,
269792,430050,381670,
269695,430157,381790,
269595,430241,381899,
269599,430268,381963,
269745,430335,382058,
269949,430444,382193,
270103,430511,382236,
270220,430592,382367,
270413,430650,382421,
270730,430706,382507,
271049,430793,382586,
271194,430833,382663,
271127,430930,382775,
270990,430977,382884,
270938,431035,382963,
270966,431148,383022,
270946,431158,383129,
270808,431260,383240,
270648,431302,383328,
270625,431333,383331,
270806,431434,383495,
271122,431487,383577,
271469,431583,383685,
271786,431579,383692,
272037,431622,383774,
272175,431607,383847,
272180,431733,383938,
272125,431746,383943,
272133,431774,384018,
272255,431843,384083,
272408,431768,384094,
272486,431783,384100,
272497,431831,384130,
272558,431827,384152,
272730,431875,384170,
272923,431864,384176,
272985,431867,384219,
272878,431933,384208,
272715,431870,384212,
272614,431899,384131,
272573,431807,384163,
272518,431855,384179,
272453,431800,384108,
272487,431818,384099,
272683,431803,384042,
272940,431726,384006,
273069,431750,384021,
273013,431667,383976,
272921,431646,383908,
272995,431640,383917,
273274,431642,383856,
273607,431638,383799,
273820,431576,383810,
273872,431580,383799,
273829,431593,383804,
273750,431592,383843,
273653,431594,383790,
273581,431644,383911,
273612,431701,383913,
273770,431701,383948,
273952,431707,383942,
274005,431697,384014,
273896,431785,384049,
273756,431805,384124,
273747,431869,384113,
273899,431927,384260,
274115,431989,384308,
274306,432017,384392,
274477,432084,384475,
274662,432177,384569,
274832,432223,384666,
274911,432280,384739,
274883,432378,384819,
274832,432417,384982,
274855,432543,385077,
274947,432543,385166,
275033,432638,385277,
275080,432808,385434,
275149,432864,385537,
275306,432921,385637,
275505,433064,385727,
275617,433073,385867,
275581,433207,386000,
275486,433311,386098,
275478,433383,386139,
275607,433528,386379,
275787,433553,386483,
275922,433655,386639,
276012,433766,386723,
276121,433854,386885,
276269,433973,387004,
276401,434030,387036,
276464,434113,387208,
276480,434194,387337,
276496,434259,387412,
276503,434366,387507,
276443,434416,387626,
276314,434498,387722,
276227,434558,387872,
276312,434600,387944,
276567,434732,387993,
276846,434733,388130,
277002,434878,388256,
277031,434927,388346,
277050,435021,388470,
277154,435116,388554,
277318,435184,388667,
277455,435213,388705,
277523,435252,388811,
277543,435343,388941,
277535,435418,388988,
277496,435446,389086,
277450,435519,389099,
277498,435623,389250,
277734,435600,389251,
278121,435708,389406,
278493,435738,389507,
278699,435727,389566,
278743,435842,389616,
278745,435938,389656,
278784,435972,389800,
278830,436081,389894,
278827,436049,389926,
278796,436125,390018,
278809,436245,390107,
278860,436283,390265,
278839,436301,390242,
278661,436344,390331,
278389,436376,390388,
278201,436460,390476,
278220,436505,390521,
278410,436624,390605,
278652,436627,390659,
278874,436616,390773,
279080,436716,390795,
279289,436767,390808,
279493,436795,390939,
279693,436882,391052,
279940,436939,391092,
280277,436992,391113,
280668,436955,391192,
281023,437051,391311,
281314,437172,391364,
281604,437158,391405,
