ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
-261159,415190,556049,
-261233,415240,556200,
-261204,415280,556316,
-261056,415313,556327,
-260885,415372,556444,
-260805,415350,556501,
-260840,415417,556594,
-260930,415443,556704,
-261046,415497,556747,
-261234,415539,556799,
-261538,415602,556896,
-261886,415588,556965,
-262109,415634,557074,
-262094,415700,557149,
-261892,415676,557278,
-261679,415758,557345,
-261592,415757,557400,
-261641,415762,557440,
-261742,415823,557511,
-261822,415899,557584,
-261845,415881,557573,
-261799,415918,557747,
-261685,415984,557765,
-261545,416001,557817,
-261467,415993,557850,
-261504,416078,557954,
-261602,416043,557971,
-261627,416107,558069,
-261489,416099,558093,
-261242,416186,558206,
-261043,416184,558255,
-261029,416180,558267,
-261230,416205,558347,
-261594,416192,558390,
-262037,416274,558472,
-262464,416302,558567,
-262647,416416,558625,
-262419,416434,558684,
-262307,416471,558741,
-262378,416507,558752,
-262545,416580,558858,
-262689,416502,558892,
-262776,416590,559096,
-262862,416620,559074,
-262991,416691,559216,
-263134,416735,559283,
-263228,416731,559325,
-263246,416756,559355,
-263211,416810,559466,
-263152,416826,559525,
-263090,416854,559681,
-263069,416923,559630,
-263160,416989,559704,
-263384,417006,559878,
-263627,417015,559896,
-263650,417107,559995,
-263212,417093,560011,
-262198,417184,560109,
-260678,417147,560226,
-258900,417191,560283,
-257269,417270,560423,
-256302,417282,560451,
-256460,417331,560591,
-257905,417406,560574,
-260326,417431,560737,
-263035,417446,560796,
-265300,417466,560905,
-266677,417561,560969,
-267118,417523,561041,
-266856,417604,561183,
-266217,417647,561264,
-265515,417637,561238,
-264996,417720,561368,
-264777,417729,561501,
-264791,417811,561605,
-264840,417867,561661,
-264753,417855,561729,
-264519,417850,561776,
-264268,417849,561842,
-264131,417852,561789,
-264138,417795,561849,
-264242,417640,561800,
-264402,417550,561745,
-264605,417390,561543,
-264883,417209,560670,
-264725,417029,560235,
-264553,416829,559861,
-264455,416659,559422,
-264443,416388,559007,
-264499,416169,558523,
-264635,415986,558203,
-264883,415806,557840,
-265214,415606,557544,
-265501,415468,557199,
-265614,415334,556829,
-265532,415161,556518,
-265354,415063,556290,
-265187,414917,556078,
-265048,414843,555992,
-264895,414759,555845,
-264730,414701,555662,
-264617,414610,555562,
-264598,414529,555480,
-264612,414566,555470,
-264541,414509,555311,
-264340,414439,555349,
-264074,414403,555256,
-263841,414425,555245,
-263665,414363,555172,
-263510,414420,555216,
-263374,414338,555159,
-263316,414398,555260,
-263380,414347,555194,
-263514,414370,555163,
-263610,414289,555240,
-263615,414316,555191,
-263570,414331,555242,
-263537,414394,555245,
-263502,414360,555260,
-263402,414338,555304,
-263239,414367,555386,
-263136,414400,555336,
-263246,414410,555419,
-263612,414406,555437,
-264132,414493,555424,
-264643,414423,555427,
-265036,414421,555489,
-265278,414407,555559,
-265378,414431,555573,
-265356,414458,555646,
-265268,414504,555657,
-265186,414559,555688,
-265154,414562,555809,
-265150,414610,555856,
-265135,414636,555935,
-265125,414634,556012,
-265193,414708,556052,
-265367,414733,556141,
-265570,414809,556216,
-265699,414885,556359,
-265750,414928,556462,
-265843,414901,556520,
-266075,414969,556559,
-266384,415011,556655,
-266577,415096,556761,
-266511,415093,556823,
-266227,415077,556884,
-265908,415119,556918,
-265727,415144,557032,
-265743,415151,557061,
-265916,415133,557144,
-266162,415260,557199,
-266371,415257,557281,
-266422,415255,557306,
-266235,415265,557311,
-265870,415280,557358,
-265527,415288,557408,
-265428,415291,557382,
-265641,415322,557411,
-266030,415347,557537,
-266370,415368,557539,
-266521,415338,557547,
-266492,415377,557594,
-266378,415413,557663,
-266245,415413,557741,
-266107,415404,557651,
-265965,415357,557725,
-265837,415384,557784,
-265754,415378,557831,
-265726,415424,557822,
-265750,415423,557918,
-265825,415443,558016,
-265955,415468,558075,
-266141,415427,558037,
-266387,415533,558108,
-266717,415535,558206,
-267155,415604,558325,
-267673,415672,558312,
-268155,415672,558456,
-268461,415700,558540,
-268545,415781,558629,
-268515,415789,558692,
-268535,415778,558744,
-268681,415848,558883,
-268894,415827,558941,
-269065,415873,558939,
-269163,415986,559080,
-269238,415959,559176,
-269344,416018,559230,
-269478,416005,559338,
-269614,416067,559402,
-269766,416127,559474,
-269981,416184,559565,
-270263,416213,559624,
-270542,416230,559702,
-270738,416248,559884,
-270816,416257,559920,
-270769,416344,560056,
-270527,416393,560137,
-269931,416443,560204,
-268835,416467,560296,
-267251,416504,560390,
-265425,416554,560470,
-263806,416581,560581,
-262917,416593,560665,
-263189,416603,560723,
-264756,416657,560858,
-267310,416711,560913,
-270160,416805,560953,
-272528,416840,561121,
-273928,416833,561214,
-274346,416930,561330,
-274097,416931,561424,
-273536,417004,561538,
-272879,417050,561644,
-272233,417135,561765,
-271693,417159,561910,
-271332,417225,561967,
-271123,417257,562028,
-270956,417270,562101,
-270762,417335,562175,
-270625,417337,562196,
-270708,417323,562258,
-271066,417252,562144,
-271560,417152,562008,
-271972,417070,561766,
-272191,416952,561440,
-272274,416739,561161,
-272336,416548,560854,
-272424,416301,560354,
-272504,416081,559898,
-272545,415788,559430,
-272579,415596,558894,
-272661,415328,558390,
-272803,415083,557858,
-272962,414829,557495,
-273083,414565,557012,
-273131,414351,556599,
-273092,414154,556242,
-272960,414016,555909,
-272760,413835,555648,
-272569,413669,555352,
-272467,413527,555087,
-272464,413402,554938,
-272478,413317,554794,
-272422,413321,554609,
-272295,413205,554549,
-272182,413158,554499,
-272150,413081,554284,
-272170,413088,554270,
-272150,413045,554175,
-272030,412976,554160,
-271825,412912,554073,
-271570,412943,554129,
-271275,412921,554041,
-270941,412863,554029,
-270623,412873,553981,
-270424,412883,553952,
-270418,412848,553949,
-270561,412797,553935,
-270703,412809,553918,
-270672,412793,553901,
-270392,412764,553896,
-269948,412787,553916,
-269570,412793,553896,
-269527,412760,553853,
-269963,412762,553882,
-270762,412781,553938,
-271574,412703,553867,
-272016,412664,553854,
-271936,412723,553864,
-271495,412754,553871,
-271016,412730,553909,
-270717,412731,553950,
-270589,412752,553970,
-270498,412797,554064,
-270381,412843,554148,
-270304,412859,554143,
-270355,412872,554237,
-270509,412914,554302,
-270635,412933,554374,
-270637,412977,554390,
-270694,413029,554472,
-271012,413101,554564,
-271349,413171,554649,
-271524,413186,554650,
-271424,413175,554809,
-271053,413255,554870,
-270535,413200,554922,
-270043,413269,554967,
-269680,413275,555002,
-269392,413272,555054,
-269011,413286,555190,
-268430,413343,555222,
-267741,413308,555189,
-267194,413337,555325,
-266993,413385,555265,
-267135,413399,555406,
-267434,413411,555455,
-267705,413370,555534,
-267869,413474,555571,
-267923,413473,555622,
-267859,413531,555680,
-267657,413563,555831,
-267357,413633,555894,
-267073,413647,555985,
-266896,413730,556056,
