ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
-223758,439786,423793,
-225225,439828,423903,
-226155,439899,423968,
-226421,439927,424088,
-226061,439987,424222,
-225229,439976,424285,
-224133,440064,424388,
-223006,440065,424468,
-222071,440158,424566,
-221486,440208,424739,
-221277,440171,424805,
-221326,440303,425027,
-221457,440363,425098,
-221540,440400,425219,
-221546,440444,425234,
-221492,440529,425350,
-221390,440535,425390,
-221243,440456,425277,
-221088,440395,425120,
-220993,440290,424929,
-220993,440045,424669,
-221041,439828,424288,
-221034,439610,423941,
-220910,439257,423488,
-220695,438870,423022,
-220478,438479,422487,
-220342,438068,421876,
-220319,437687,421332,
-220375,437289,420748,
-220430,436875,420187,
-220394,436480,419628,
-220243,436141,419082,
-220052,435688,418567,
-219957,435343,417978,
-220036,434992,417515,
-220221,434707,417068,
-220309,434391,416642,
-220083,434093,416241,
-219443,433794,415784,
-218472,433558,415451,
-217403,433267,415085,
-216523,433001,414668,
-216058,432795,414331,
-216094,432576,414022,
-216555,432316,413706,
-217247,432124,413390,
-217959,431917,413117,
-218522,431676,412804,
-218713,431213,412601,
-218497,431107,412329,
-218460,430938,412146,
-218748,430846,412002,
-219309,430744,411819,
-219914,430699,411641,
-220348,430642,411478,
-220597,430561,411322,
-220860,430545,411258,
-221353,430534,411112,
-222093,430433,411055,
-222843,430446,411024,
-223283,430446,410931,
-223244,430452,410873,
-222828,430519,410906,
-222321,430587,410894,
-222012,430577,410957,
-222033,430683,411014,
-222326,430766,411072,
-222695,430843,411191,
-222926,430983,411235,
-222911,431051,411368,
-222738,431161,411553,
-222638,431257,411727,
-222796,431381,411895,
-223155,431496,411969,
-223431,431552,412161,
-223348,431682,412346,
-222908,431750,412556,
-222407,431868,412712,
-222184,431940,412904,
-222361,431950,413070,
-222802,432064,413107,
-223290,432165,413346,
-223704,432168,413428,
-224009,432270,413535,
-224160,432287,413727,
-224074,432412,413771,
-223716,432497,413879,
-223183,432499,414071,
-222660,432567,414191,
-222288,432603,414262,
-222075,432689,414350,
-221944,432700,414503,
-221844,432813,414607,
-221810,432875,414729,
-221905,432918,414793,
-222117,433022,414917,
-222359,433154,415272,
-222217,433186,415437,
-222136,433323,415567,
-222202,433353,415724,
-222413,433383,415839,
-222710,433543,415952,
-223029,433591,416051,
-223327,433659,416122,
-223568,433721,416213,
-223703,433747,416394,
-223687,433799,416481,
-223527,433867,416603,
-223327,433884,416607,
-223251,433936,416745,
-223417,433979,416839,
-223782,434009,416940,
-224139,434059,416963,
-224247,434115,417145,
-223978,434163,417244,
-223382,434237,417377,
-222627,434341,417492,
-221905,434458,417650,
-221374,434503,417766,
-221157,434666,417960,
-221352,434733,418055,
-222019,434900,418319,
-223128,435031,418498,
-224534,435184,418683,
-225995,435302,418788,
-227249,435479,419066,
-228099,435545,419265,
-228448,435634,419359,
-228307,435734,419556,
-227776,435826,419683,
-227037,435938,419859,
-226293,435998,419983,
-225681,436070,420080,
-225229,436210,420284,
-224900,436230,420421,
-224680,436322,420651,
-224593,436418,420762,
-224639,436548,420894,
-224728,436605,421077,
-224729,436663,421219,
-224572,436707,421259,
-224300,436770,421345,
-224022,436734,421299,
-223827,436649,421155,
-223735,436476,420951,
-223716,436309,420698,
-223706,436041,420274,
-223645,435712,419825,
-223519,435340,419356,
-223397,434989,418875,
-223393,434613,418391,
-223550,434225,417860,
-223755,433874,417321,
-223803,433497,416828,
-223575,433202,416218,
-223163,432793,415793,
-222803,432471,415273,
-222679,432090,414741,
-222774,431835,414376,
-222915,431491,413833,
-222930,431174,413420,
-222744,430952,413044,
-222376,430662,412659,
-221866,430431,412284,
-221267,430180,411933,
-220681,429937,411637,
-220254,429771,411339,
-220105,429530,411033,
-220227,429337,410746,
-220499,429181,410471,
-220783,428981,410220,
-221026,428835,409942,
-221263,428741,409789,
-221522,428573,409653,
-221771,428545,409442,
-221972,428374,409300,
-222177,428333,409182,
-222532,428252,409017,
-223147,428172,408915,
-223961,428095,408805,
-224748,427965,408693,
-225258,427988,408688,
-225393,427967,408627,
-225250,427882,408531,
-225048,427845,408476,
-224973,427802,408488,
-225075,427805,408449,
-225249,427760,408429,
-225336,427727,408431,
-225262,427779,408506,
-225102,427767,408492,
-225004,427810,408587,
-225044,427863,408658,
-225166,427909,408796,
-225257,427984,408933,
-225275,428127,409040,
-225302,428206,409234,
-225462,428290,409446,
-225797,428458,409571,
