ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
2198207,295650,388571,
2198117,295613,388778,
2198150,295531,388711,
2198230,295523,388590,
2198297,295575,388424,
2198268,295683,388332,
2198035,295640,388260,
2197512,295553,388239,
2194249,295340,387391,
2192816,295425,387367,
2191434,295406,387252,
2190286,295411,386977,
2189460,295247,386707,
2188846,295380,386880,
2188173,295432,386971,
2187181,295484,386932,
2185820,295522,387032,
2184285,295586,387066,
2182877,295643,387040,
2181815,295710,387065,
2181150,295788,387209,
2180818,295925,387536,
2180712,296167,387842,
2180720,296395,388204,
2180714,296617,388621,
2180590,296879,389056,
2180333,297138,389444,
2180041,297224,389812,
2179858,297692,390517,
2179889,298057,391159,
2180184,298221,391563,
2180796,298720,392470,
2181796,299216,393224,
2183183,299471,393762,
2184771,299869,394568,
2186193,300261,395311,
2187085,300745,396024,
2187308,301113,396747,
2187004,301450,397400,
2186458,301903,398078,
2185890,302157,398690,
2185374,302544,399406,
2184907,302884,400107,
2184510,303226,400738,
2184229,303573,401398,
2184056,303919,402097,
2183895,304268,402787,
2183627,304607,403425,
2183225,304866,404043,
2182783,305180,404584,
2182438,305423,405199,
2182262,305717,405751,
2182221,306000,406409,
2182225,306310,406924,
2182195,306541,407440,
2182090,306817,407927,
2181885,307019,408458,
2181555,307245,408957,
2181083,307363,409415,
2180478,307534,409749,
2179784,307720,410141,
2179058,307868,410542,
2178342,307974,410888,
2177661,308087,411208,
2177030,308212,411555,
2176460,308300,411984,
2175971,308528,412417,
2175592,308694,412853,
2175360,308919,413226,
2175314,309079,413656,
2175471,309242,414038,
2175815,309442,414479,
2176279,309580,414871,
2176752,309756,415281,
2177089,309964,415641,
2177176,310103,415910,
2176996,310301,416303,
2176659,310478,416724,
2176346,310582,416935,
2176226,310668,417239,
2176408,310778,417568,
2176980,310902,417779,
2178044,311021,418058,
2179664,311150,418405,
2181746,311239,418601,
2183953,311239,418284,
2185763,310945,418429,
2186661,311128,418864,
2186352,311365,419279,
2184901,311549,419667,
2182741,311713,419961,
2180521,311671,419864,
2178857,311728,420328,
2178075,311952,420722,
2178099,312161,421217,
2178559,312376,421620,
2179043,312615,422046,
2179304,312820,422463,
2179321,313004,422970,
2179207,313245,423372,
2179099,313468,423712,
2179105,313431,423847,
2179295,313707,424345,
2179700,313913,424805,
2180297,314150,425249,
2181016,314369,425636,
2181782,314534,426033,
2182565,314469,426051,
2183371,314476,426184,
2184197,314481,426194,
2184985,314290,425990,
2185630,313994,425655,
2186063,313646,425088,
2186322,313194,424430,
2186562,312766,423706,
2186959,312154,422830,
2187583,311848,422195,
2188333,311383,421687,
2188977,311204,421198,
2189273,310868,420691,
2189102,310530,419960,
2188534,310150,419416,
2187766,309856,418824,
2186949,309511,418020,
2186046,308988,417403,
2184880,308652,416779,
2183354,308396,416337,
2181626,308267,416132,
2180009,308171,415969,
2178684,308088,415776,
2177508,308002,415648,
2176142,307871,415361,
2174342,307787,415286,
2172146,307793,415266,
2169804,307721,415095,
2167579,307684,415158,
2165615,307729,415304,
2163926,307879,415458,
