ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
-51929,463055,591134,
-51997,463003,591056,
-51895,462979,590851,
-51656,462975,590682,
-51351,462898,590578,
-51022,462808,590480,
-50660,462823,590473,
-50237,462825,590355,
-49759,462848,590341,
-49306,462902,590331,
-49008,462953,590278,
-48952,462971,590187,
-49075,462965,590284,
-49183,462957,590305,
-49107,463038,590336,
-48863,463029,590228,
-48649,463059,590219,
-48675,463129,590274,
-48993,463108,590229,
-49501,463128,590238,
-50071,463125,590153,
-52018,463242,590172,
-52768,463299,590159,
-53490,463204,590138,
-54116,463222,590148,
-54570,463255,590128,
-54786,463256,590099,
-54773,463294,590101,
-54671,463308,590073,
-54686,463339,590061,
-54930,463347,590152,
-55317,463393,590088,
-55617,463426,590096,
-55631,463499,590176,
-55329,463540,590153,
-54845,463601,590233,
-54363,463626,590235,
-54029,463713,590425,
-53912,463764,590444,
-54012,463833,590522,
-54276,463900,590640,
-54610,463976,590610,
-54911,464003,590784,
-55109,464034,590898,
-55173,464110,590966,
-55106,464139,591073,
-54929,464144,591180,
-54672,464216,591149,
-54382,464214,591234,
-54114,464286,591316,
-53918,464316,591304,
-53826,464335,591317,
-53845,464331,591443,
-53965,464356,591479,
-54143,464374,591424,
-54281,464385,591496,
-54259,464383,591462,
-54007,464361,591513,
-53581,464363,591475,
-53128,464347,591388,
-52783,464381,591396,
-52582,464422,591447,
-52483,464341,591478,
-52446,464341,591428,
-52463,464397,591483,
-52497,464324,591464,
-52441,464349,591512,
-52196,464381,591482,
-51803,464322,591426,
-51697,464257,591366,
-52104,464328,591402,
-52363,464312,591483,
-52339,464310,591430,
-52113,464237,591397,
-51869,464373,591531,
-51717,464319,591468,
-51620,464382,591569,
-51483,464429,591595,
-51261,464449,591626,
-50998,464433,591678,
-50766,464458,591760,
-50609,464488,591699,
-50519,464527,591807,
-50446,464557,591798,
-50324,464607,591944,
-50094,464635,591999,
-49758,464676,592011,
-49390,464629,592129,
-49096,464738,592151,
-48924,464757,592204,
-48828,464757,592188,
-48711,464807,592252,
-48513,464806,592284,
-48262,464840,592234,
-48039,464809,592366,
-47925,464878,592449,
-47954,464963,592502,
-48090,464948,592521,
-48233,464973,592511,
-48260,464975,592572,
-48093,465012,592554,
-47762,464996,592539,
-47388,464960,592663,
-47091,465040,592711,
-46906,465009,592694,
-46783,465022,592693,
-46648,465030,592799,
-46463,465082,592870,
-46224,465125,592973,
-45939,465139,592933,
-45631,465108,592934,
-45360,465127,593040,
-45217,465210,593091,
-45260,465241,593139,
-45439,465218,593137,
-45616,465227,593262,
-45673,465264,593302,
-45618,465240,593254,
-45562,465232,593281,
-45580,465250,593404,
-45625,465277,593448,
-45586,465303,593408,
-45427,465255,593510,
-45238,465261,593471,
-45136,465264,593562,
-45127,465289,593503,
-45085,465345,593550,
-44880,465350,593650,
-44489,465381,593680,
-44007,465460,593716,
-43562,465456,593780,
-43246,465528,593886,
-43090,465531,593899,
-43061,465570,594011,
-43038,465629,594081,
-42785,465664,594081,
-41965,465662,594156,
-40207,465687,594146,
-37239,465784,594253,
-33090,465732,594324,
-28272,465793,594387,
-23782,465798,594407,
-20835,465836,594479,
-20380,465898,594544,
-22681,465935,594621,
-27187,465922,594677,
-32748,465998,594764,
-38050,466040,594775,
-42054,466086,594871,
-44277,466087,594895,
-44816,466135,594949,
-44134,466211,595086,
-42774,466259,595198,
-41148,466316,595270,
-39524,466350,595285,
-38113,466332,595411,
-37112,466454,595435,
-36640,466464,595475,
-36631,466493,595532,
-36814,466442,595579,
-36853,466462,595584,
-36543,466542,595618,
-35928,466507,595660,
-35245,466540,595713,
-34747,466511,595722,
-34555,466523,595660,
-34633,466519,595663,
-34850,466514,595668,
-35068,466536,595587,
-35172,466471,595513,
-35102,466472,595395,
-34874,466398,595312,
-34564,466284,595040,
-34246,466195,594843,
-33918,466015,594523,
-33517,465870,594275,
-33004,465754,593934,
-32431,465628,593650,
-31908,465456,593336,
-31510,465358,593069,
-31233,465138,592795,
-31030,464977,592512,
-30867,464860,592237,
-30726,464724,592012,
-30556,464649,591866,
-30275,464476,591533,
-29830,464477,591361,
-29250,464347,591276,
-28638,464338,591127,
-28097,464265,590981,
-27679,464239,590827,
-27397,464211,590805,
-27250,464159,590740,
-27214,464178,590661,
-27224,464173,590684,
-27181,464148,590681,
-27019,464210,590629,
-26751,464171,590574,
-26452,464190,590548,
-26204,464166,590539,
-26077,464186,590580,
-26139,464203,590454,
-26458,464150,590440,
-27048,464264,590510,
-27818,464241,590463,
-28603,464252,590447,
-29273,464240,590429,
-29810,464250,590421,
-30266,464329,590478,
-30686,464381,590456,
-31082,464383,590520,
-31478,464430,590524,
-31930,464459,590524,
-32466,464445,590484,
-33012,464421,590460,
-33414,464434,590483,
-33560,464399,590449,
-33477,464426,590409,
-33299,464358,590483,
-33176,464424,590469,
-33191,464457,590462,
-33354,464410,590441,
-33613,464403,590421,
-33860,464412,590426,
-33952,464370,590446,
-33778,464370,590480,
-33368,464396,590475,
-32911,464383,590486,
-32653,464418,590524,
-32708,464444,590520,
-32960,464435,590570,
-33131,464515,590735,
-32992,464561,590703,
-32528,464582,590754,
-31940,464647,590786,
-31493,464579,590827,
-31335,464719,590910,
-31433,464713,590882,
-31628,464751,590853,
-31765,464806,590955,
-31764,464805,590981,
-31639,464823,591007,
-31453,464823,591017,
-31261,464831,590989,
-31079,464844,590985,
-30901,464840,591020,
-30739,464845,590975,
-30627,464919,591044,
-30582,464907,591059,
-30558,464904,591060,
-30479,464886,591019,
-30323,464908,591081,
-30159,464957,591063,
-30075,464950,591045,
-30071,464937,591044,
-30054,464941,591047,
-29943,464889,591029,
-29782,464958,591000,
-29703,464959,590963,
-29803,464897,591028,
-30049,464899,591011,
-30314,464939,591124,
-30489,464885,590999,
-30542,464891,591095,
-30497,464913,591079,
-30390,464975,591108,
-30271,464951,591074,
-30336,465043,591229,
-30417,465057,591200,
-30399,465153,591231,
-30283,465207,591309,
-30128,465219,591361,
-29966,465364,591464,
-29778,465489,591497,
-29542,465523,591585,
-29307,465572,591722,
-29176,465591,591762,
-29217,465614,591840,
-29394,465689,591928,
-29584,465703,591969,
-29657,465796,592082,
-29548,465836,592163,
-29270,465856,592191,
-28893,465912,592292,
-28523,465896,592319,
-28275,465999,592391,
-28227,466020,592435,
-28357,465998,592501,
-28546,465953,592523,
-28650,465976,592583,
-28601,466050,592512,
-28442,466022,592574,
-28270,466023,592642,
-28129,466105,592614,
-27986,466053,592693,
-27767,466114,592802,
-27440,466078,592732,
-27036,466134,592771,
-26619,466220,592786,
-26257,466266,592944,
-26015,466261,592977,
-25951,466416,593106,
-26082,466412,593196,
-26349,466476,593239,
-26637,466501,593290,
-26863,466518,593333,
-27019,466617,593381,
-27142,466622,593504,
-27237,466657,593546,
-27270,466756,593553,
-27224,466756,593702,
-27142,466809,593776,
-27082,466796,593811,
-27057,466836,593853,
-27037,466903,593949,
-26928,466952,594073,
-26833,466948,594178,
-26620,467013,594257,
-26315,467067,594325,
-26055,467047,594341,
-26002,467177,594489,
-26207,467247,594640,
-26573,467271,594669,
-26897,467315,594706,
-26945,467426,594733,
-26454,467530,594951,
-25123,467635,595080,
-22667,467651,595171,
-18995,467779,595280,
-14381,467888,595436,
-9535,467935,595462,
-5508,468000,595663,
-3438,468128,595742,
-4188,468265,595864,
-7925,468316,595966,
-13852,468378,596054,
-20368,468504,596156,
-25714,468560,596326,
-28771,468692,596427,
-29497,468734,596456,
-28691,468840,596496,
-27344,468922,596617,
-26089,468971,596710,
-25089,469004,596819,
-24257,469078,596877,
-23510,469131,596975,
-22849,469178,597067,
-22315,469167,597055,
-21936,469223,597194,
-21694,469206,597265,
-21533,469315,597390,
-21371,469323,597356,
-21156,469419,597521,
-20907,469441,597501,
-20698,469367,597501,
-20575,469449,597538,
-20504,469430,597623,
-20392,469416,597650,
-20168,469520,597604,
-19832,469489,597472,
-19427,469358,597376,
-18983,469374,597250,
-18515,469234,597054,
-18062,469270,596890,
-17706,469162,596591,
-17528,469027,596370,
-17532,468861,595981,
-17617,468671,595635,
-17623,468501,595359,
-17420,468324,595063,
-16958,468178,594691,
-16280,467946,594388,
-15498,467819,594080,
-14768,467658,593787,
-14240,467460,593555,
-13973,467333,593218,
-13878,467239,593015,
-13756,467146,592903,
-13429,467062,592697,
-12867,466971,592514,
-12190,466921,592428,
-11560,466846,592357,
-11073,466816,592207,
-10750,466734,592063,
-10601,466688,591944,
-10644,466700,591913,
-10859,466658,591820,
-11136,466629,591741,
-11316,466596,591720,
-11312,466548,591604,
-11187,466536,591659,
-11112,466517,591584,
-11249,466601,591549,
-11668,466539,591545,
-12332,466553,591544,
-13125,466527,591424,
-13890,466595,591498,
-14481,466684,591535,
-14844,466727,591492,
-15053,466770,591543,
-15260,466853,591565,
-15583,466891,591563,
-16036,466896,591659,
-16545,466925,591632,
-17012,467001,591699,
-17363,467131,591808,
-17568,467144,591844,
-17650,467194,591783,
-17680,467223,591910,
-17745,467305,591943,
-17881,467375,591947,
-18028,467415,591942,
-18082,467390,591999,
-17986,467398,592054,
-17782,467486,592098,
-17582,467525,592182,
-17469,467543,592266,
-17455,467611,592252,
-17499,467642,592392,
-17549,467732,592451,
-17556,467766,592568,
-17463,467835,592702,
-17234,467912,592797,
-16909,467965,592876,
-16616,468080,592969,
-16491,468067,593032,
-16572,468216,593093,
-16775,468253,593215,
-16974,468335,593255,
-17085,468346,593354,
-17087,468441,593355,
-16983,468421,593342,
-16781,468425,593326,
-16535,468456,593425,
-16343,468397,593387,
-16299,468385,593257,
-16406,468379,593325,
-16565,468487,593302,
-16647,468365,593365,
-16574,468456,593346,
-16353,468500,593420,
-16043,468500,593377,
-15721,468499,593360,
-15479,468539,593340,
-15414,468540,593455,
-15577,468567,593491,
-15902,468654,593576,
-16218,468735,593576,
-16353,468676,593542,
-16248,468774,593572,
-15978,468753,593630,
-15668,468755,593597,
-15422,468797,593655,
-15297,468836,593764,
-15325,468840,593748,
-15491,468817,593802,
-15709,468888,593843,
-15842,468938,593964,
-15797,469078,594035,
-15596,469030,594049,
-15352,469095,594069,
-15178,469126,594167,
-15103,469241,594306,
-15083,469278,594337,
-15059,469405,594404,
-14989,469477,594499,
-14856,469547,594617,
-14670,469584,594719,
-14475,469661,594785,
-14344,469747,594916,
-14337,469815,595067,
-14443,469908,595130,
-14575,469941,595148,
-14621,469968,595242,
-14517,470087,595335,
-14287,470158,595343,
-14010,470276,595525,
-13760,470301,595610,
-13559,470413,595683,
-13390,470391,595740,
-13224,470460,595792,
-13066,470514,595890,
-12959,470624,595956,
-12958,470629,596004,
-13088,470710,596071,
-13300,470763,596206,
-13477,470846,596282,
-13488,470914,596399,
-13277,470968,596422,
-12899,471116,596609,
-12486,471244,596770,
-12149,471354,596860,
-11921,471524,597030,
-11762,471535,597127,
-11617,471717,597275,
-11452,471795,597368,
-11256,471949,597613,
-11031,472121,597753,
-10805,472184,597821,
-10632,472202,597858,
-10567,472218,597909,
-10625,472244,598071,
-10775,472342,598093,
-10981,472344,598107,
-11232,472327,598126,
-11519,472444,598241,
-11803,472492,598271,
-12026,472464,598289,
-12175,472455,598352,
-12287,472429,598322,
-12374,472450,598413,
-12357,472502,598469,
-12141,472495,598507,
-11493,472611,598568,
-11932,472683,598604,
-12583,472715,598691,
-13137,472726,598701,
