ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
365633,541811,597320,
365356,541751,597355,
365177,541827,597376,
365101,541812,597365,
365037,541798,597423,
364967,541875,597422,
364989,541839,597480,
365163,541911,597493,
365382,541979,597550,
365460,542011,597658,
365332,542056,597664,
365122,542080,597690,
364981,542128,597783,
364922,542179,597823,
364846,542234,597806,
364720,542279,597884,
364634,542336,597968,
364672,542375,598003,
364774,542454,598161,
364808,542446,598254,
364749,542463,598244,
364730,542516,598302,
364860,542589,598318,
365054,542607,598276,
365107,542686,598377,
364939,542660,598468,
364694,542673,598492,
364575,542727,598557,
364623,542779,598536,
364718,542808,598618,
364774,542809,598700,
364835,542782,598656,
364973,542873,598710,
365140,542903,598792,
365209,542899,598784,
365143,542887,598853,
365045,542943,598922,
365013,543040,598934,
365006,543072,598983,
364921,543066,599009,
364784,543072,599075,
364785,543105,599089,
365064,543117,599089,
365522,543134,599238,
365884,543111,599192,
365975,543166,599279,
365872,543279,599418,
365777,543247,599359,
365792,543301,599439,
365863,543331,599482,
365897,543382,599490,
365878,543407,599582,
365820,543417,599608,
365685,543423,599644,
365422,543494,599745,
365084,543501,599803,
364839,543572,599778,
364805,543554,599888,
364907,543621,599905,
364954,543626,599980,
364853,543667,600003,
364711,543681,600098,
364678,543782,600220,
364759,543789,600219,
364816,543850,600276,
364769,543893,600325,
364696,543917,600395,
364708,543886,600416,
364677,544054,600486,
364709,544017,600576,
365175,544021,600566,
366208,544106,600571,
367675,544100,600636,
369319,544084,600710,
370896,544094,600690,
372145,544182,600727,
372725,544136,600799,
372316,544120,600833,
370869,544143,600854,
368739,544170,600837,
366518,544196,600973,
364700,544228,600921,
363506,544279,600959,
362935,544306,600956,
362903,544364,601023,
363267,544347,601191,
363803,544406,601182,
364278,544472,601171,
364607,544499,601314,
364893,544536,601316,
365256,544506,601363,
365638,544558,601410,
365834,544540,601481,
365740,544564,601450,
365510,544578,601571,
365412,544641,601496,
365552,544642,601590,
365787,544596,601661,
365928,544604,601683,
365953,544620,601696,
365993,544503,601629,
366120,544392,601654,
366247,544359,601526,
366254,544220,601445,
366156,544093,601291,
366082,543915,601155,
366109,543724,600943,
366188,543628,600720,
366244,543459,600467,
366310,543228,600337,
366484,543138,600083,
366773,543024,599815,
367055,542842,599645,
367218,542716,599399,
367312,542575,599246,
367495,542518,599046,
368649,542346,598563,
368938,542267,598436,
369203,542235,598265,
369458,542125,598193,
369623,542085,598089,
369638,542010,597963,
369566,541986,597967,
369521,541982,597865,
369494,541968,597800,
369332,541898,597758,
368934,541897,597750,
368429,541862,597759,
368081,541864,597697,
368020,541851,597647,
368113,541865,597588,
368128,541891,597629,
367985,541856,597613,
367784,541792,597547,
367612,541813,597583,
367409,541843,597567,
367076,541807,597536,
366647,541858,597565,
366287,541871,597520,
366097,541831,597641,
365996,541903,597618,
365841,541906,597559,
365619,541896,597614,
365467,541930,597635,
365485,541932,597730,
365608,541924,597674,
365682,541943,597717,
365643,542019,597745,
365550,541961,597780,
365454,541989,597767,
365300,542022,597790,
365011,542040,597868,
364632,542093,597875,
364321,542111,597956,
364181,542121,597949,
364150,542141,598007,
364098,542138,598010,
363982,542158,598003,
363870,542206,598111,
363803,542284,598212,
363710,542260,598120,
363504,542276,598169,
363215,542301,598264,
362972,542356,598283,
362840,542360,598307,
362741,542295,598330,
362582,542326,598301,
362408,542364,598402,
362372,542385,598458,
362546,542441,598461,
362809,542415,598458,
362981,542436,598509,
363020,542457,598488,
363037,542436,598452,
363109,542404,598484,
363162,542433,598558,
363089,542464,598583,
362948,542477,598569,
362958,542476,598537,
363261,542469,598598,
363741,542513,598724,
364128,542510,598656,
364267,542439,598686,
364227,542579,598703,
364150,542565,598736,
364059,542503,598768,
363877,542545,598712,
363593,542493,598749,
363318,542525,598844,
363160,542554,598786,
363088,542558,598822,
362987,542556,598818,
362822,542599,598887,
362693,542577,598915,
362700,542645,598980,
362811,542719,598961,
362917,542682,599010,
362985,542692,599053,
363088,542689,599090,
363274,542710,599131,
363448,542701,599166,
363463,542680,599123,
363298,542730,599193,
363105,542805,599252,
363071,542815,599218,
363286,542803,599240,
363782,542833,599348,
364650,542878,599354,
365986,542903,599481,
367675,542983,599549,
369279,542979,599535,
370220,543019,599659,
370140,543053,599662,
369069,543056,599747,
367313,543075,599746,
365239,543130,599845,
363209,543133,599840,
361610,543151,599877,
360773,543223,599916,
360760,543215,600054,
361268,543275,600068,
361833,543327,600039,
362175,543362,600155,
362346,543307,600108,
362537,543399,600276,
362803,543405,600278,
363030,543476,600391,
363118,543426,600377,
363119,543454,600409,
363146,543488,600458,
363212,543514,600463,
363236,543524,600462,
363195,543504,600505,
363199,543500,600514,
363353,543467,600496,
363579,543437,600436,
363669,543407,600380,
363523,543298,600204,
363286,543102,599995,
363209,543025,599840,
363383,542840,599585,
363676,542705,599387,
363919,542493,599157,
364089,542332,598946,
364276,542179,598706,
364502,541973,598428,
364669,541802,598224,
364697,541664,598101,
364657,541539,597796,
364702,541389,597584,
364898,541256,597410,
365168,541134,597236,
365425,541059,597107,
365694,540923,596967,
366054,540879,596850,
366496,540758,596698,
366894,540680,596566,
367150,540551,596381,
367290,540535,596352,
367401,540461,596304,
367481,540463,596252,
367428,540400,596073,
367191,540387,596092,
366867,540360,596042,
366620,540362,596014,
366509,540336,596022,
366460,540359,596019,
366392,540357,596026,
366324,540371,596016,
366302,540339,595985,
366270,540379,595994,
366091,540358,595968,
365721,540335,595969,
365295,540378,595998,
365000,540333,595952,
364872,540390,595989,
364789,540397,596019,
364659,540312,595951,
364546,540370,595991,
364560,540361,595968,
364665,540322,595972,
364680,540294,595888,
364501,540368,596008,
364251,540434,596053,
364167,540460,596042,
364340,540481,596093,
364635,540518,596169,
364855,540537,596243,
364943,540550,596277,
364958,540594,596200,
364943,540587,596302,
364867,540612,596372,
364747,540708,596369,
364704,540699,596417,
