ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
-3229780,358531,502144,
-3230037,358598,502040,
-3230770,358617,502072,
-3231646,358615,502061,
-3232266,358675,502107,
-3232452,358660,502098,
-3232331,358740,502137,
-3232217,358722,502147,
-3233970,358757,502196,
-3234840,358798,502213,
-3235309,358769,502252,
-3235252,358816,502183,
-3234805,358774,502223,
-3234204,358825,502277,
-3233592,358866,502271,
-3233017,358844,502276,
-3232583,358880,502287,
-3232541,358850,502273,
-3233145,358872,502223,
-3234393,358888,502262,
-3235936,358935,502263,
-3237272,358920,502268,
-3238050,358933,502231,
-3238225,358959,502279,
-3237955,359025,502297,
-3237403,359013,502358,
-3236659,359050,502394,
-3235822,359055,502420,
-3235097,359083,502412,
-3234730,359111,502422,
-3234841,359128,502457,
-3235343,359097,502422,
-3236055,359118,502442,
-3236871,359128,502507,
-3237791,359127,502493,
-3238760,359143,502528,
-3239550,359120,502546,
-3239862,359186,502571,
-3239580,359166,502530,
-3238916,359232,502544,
-3238285,359179,502537,
-3238024,359245,502554,
-3238206,359263,502541,
-3238655,359253,502498,
-3239038,359240,502488,
-3238913,359268,502487,
-3237788,359279,502497,
-3235361,359313,502514,
-3231915,359302,502506,
-3228540,359366,502491,
-3226823,359377,502553,
-3228007,359372,502529,
-3232161,359402,502529,
-3238003,359404,502611,
-3243559,359424,502623,
-3247231,359459,502636,
-3248540,359492,502653,
-3248101,359497,502718,
-3246970,359498,502766,
-3245900,359518,502781,
-3245011,359559,502816,
-3244015,359570,502881,
-3242688,359619,502874,
-3241188,359580,502835,
-3239971,359583,502926,
-3239433,359630,502921,
-3239593,359689,502982,
-3240062,359645,502981,
-3240317,359644,503021,
-3240063,359753,503083,
-3239415,359695,503124,
-3238784,359730,503143,
-3238547,359769,503171,
-3238770,359770,503208,
-3239191,359760,503248,
-3239461,359771,503228,
-3239420,359801,503272,
-3239188,359753,503273,
-3239039,359764,503280,
-3239198,359733,503271,
-3239692,359778,503275,
-3240329,359748,503218,
-3240792,359658,503172,
-3240831,359646,503102,
-3240441,359596,502969,
-3239884,359578,502883,
-3239491,359511,502818,
-3239407,359477,502665,
-3239502,359408,502524,
-3239506,359357,502507,
-3239225,359348,502458,
-3238660,359655,505527,
-3237995,359591,505836,
-3237520,359628,506059,
-3237505,359662,506223,
-3238080,359664,506278,
-3239149,359777,506790,
-3240428,359831,507058,
-3241603,359910,507268,
-3242498,359996,507390,
-3243122,360044,507497,
-3243619,360138,507649,
-3244165,360196,507858,
-3244890,360271,507905,
-3245811,360331,507934,
-3246824,360379,508065,
-3247768,360401,508065,
-3248553,360446,508251,
-3249253,360476,508193,
-3250053,360528,508298,
-3251072,360556,508345,
-3252214,360496,508391,
-3253192,360586,508442,
-3253727,360602,508460,
-3253763,360610,508551,
-3253527,360602,508573,
-3253378,360657,508588,
-3253558,360659,508678,
-3254041,360715,508738,
-3254595,360715,508744,
-3254996,360744,508770,
-3255223,360743,508811,
-3255466,360725,508811,
-3255944,360735,508869,
-3256692,360706,508850,
-3257493,360705,508865,
-3258018,360794,508925,
-3258065,360719,508947,
-3257691,360763,508922,
-3257171,360723,508969,
-3256823,360762,509031,
-3256854,360788,509024,
-3257299,360857,509036,
-3258021,360839,509069,
-3258747,360915,509171,
-3259164,360858,509118,
-3259087,360926,509204,
-3258611,360896,509216,
-3258089,360966,509273,
-3257872,360992,509377,
-3258014,360974,509321,
-3258227,360974,509376,
-3258174,360996,509414,
-3257831,361034,509495,
-3257574,360998,509481,
-3257866,361032,509482,
-3258824,361055,509509,
-3260049,361003,509523,
-3260897,361073,509557,
-3260949,361092,509632,
-3260303,361103,509628,
-3259468,361099,509632,
-3258979,361200,509666,
-3259072,361132,509701,
-3259637,361172,509725,
-3260419,361181,509717,
-3261234,361214,509762,
-3262021,361206,509758,
-3262733,361239,509912,
-3263242,361267,509873,
