ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
259121,467221,513739,
259030,467042,513334,
258789,466868,513006,
258530,466758,512727,
258362,466567,512454,
258308,466419,512108,
258333,466282,511888,
258418,466127,511642,
258572,466011,511436,
258795,465889,511212,
259036,465801,511059,
259220,465746,510884,
259298,465681,510754,
259279,465552,510613,
259215,465570,510489,
259176,465568,510451,
259226,465514,510340,
259400,465451,510240,
259679,465393,510223,
259978,465401,510151,
260199,465382,510122,
260314,465342,509982,
260395,465311,509989,
260558,465298,509921,
260853,465262,509830,
261226,465243,509804,
261590,465225,509657,
261903,465239,509697,
262187,465141,509539,
262456,465133,509470,
262670,465033,509453,
262767,465040,509324,
262725,465031,509250,
262576,465039,509148,
262347,464959,509077,
262022,464919,509003,
261568,464879,508908,
261016,464820,508791,
260471,464822,508767,
260042,464784,508662,
259751,464729,508640,
259528,464680,508530,
259291,464679,508477,
259017,464605,508464,
258744,464609,508423,
258500,464620,508357,
258271,464576,508299,
258012,464621,508292,
257699,464639,508309,
257334,464666,508313,
256932,464693,508389,
256514,464707,508447,
256124,464722,508449,
255841,464719,508514,
255755,464806,508565,
255910,464873,508691,
256278,464876,508823,
256754,464959,508854,
257193,465024,508977,
257445,465041,509031,
257426,465098,509094,
257165,465125,509198,
256807,465145,509198,
256512,465109,509178,
256348,465126,509218,
256254,465165,509276,
256139,465224,509308,
255981,465200,509329,
255845,465231,509373,
255785,465217,509300,
255783,465199,509337,
255784,465200,509347,
255783,465282,509382,
255849,465289,509380,
256039,465246,509408,
256300,465293,509396,
256489,465262,509419,
256475,465271,509411,
256259,465337,509442,
255970,465340,509517,
255778,465345,509558,
255772,465374,509475,
255914,465331,509546,
256059,465406,509623,
256059,465440,509617,
255868,465458,509611,
255588,465478,509647,
255399,465505,509715,
255416,465542,509759,
255590,465484,509791,
255755,465597,509863,
255763,465585,509958,
255595,465644,510029,
255344,465685,510016,
255124,465713,510130,
255002,465826,510206,
255005,465866,510288,
255141,465777,510377,
255387,465935,510467,
255651,465994,510594,
255808,466041,510663,
255791,466077,510714,
255658,466092,510815,
255545,466143,510958,
255526,466227,510932,
255539,466267,511042,
255460,466294,511082,
255248,466346,511229,
254990,466400,511276,
254870,466497,511300,
254959,466547,511443,
255015,466593,511491,
255012,466614,511483,
254924,466621,511606,
254746,466687,511705,
254540,466689,511739,
254423,466749,511848,
254466,466795,511894,
254619,466848,511925,
254746,466843,512008,
254755,466837,512080,
254676,466940,512148,
254611,466996,512197,
254637,467018,512240,
254753,467030,512457,
254916,467098,512430,
255082,467150,512546,
255223,467164,512581,
255322,467193,512716,
255385,467195,512738,
255447,467284,512841,
255537,467324,512919,
255629,467316,512937,
255655,467346,513003,
255576,467379,513004,
255434,467434,513102,
255306,467508,513192,
255203,467550,513227,
255024,467563,513326,
254656,467612,513469,
254116,467621,513471,
253585,467709,513568,
253287,467711,513567,
253304,467731,513706,
253522,467788,513727,
253745,467785,513785,
253850,467845,513865,
253852,467861,513885,
253821,467915,514033,
253792,467910,514033,
253747,467960,514124,
253659,467946,514171,
253530,467985,514247,
253382,468060,514279,
253233,468100,514373,
253101,468100,514372,
253002,468138,514445,
252952,468180,514631,
253199,468223,514747,
253850,468269,514825,
255000,468283,514863,
256487,468306,514911,
257891,468360,514947,
258736,468370,515031,
258715,468412,515100,
257807,468465,515210,
256240,468532,515337,
254398,468533,515283,
252731,468607,515393,
251648,468619,515481,
251353,468633,515503,
251741,468635,515603,
252437,468717,515651,
253015,468753,515745,
253230,468789,515812,
253100,468817,515837,
252810,468822,515952,
252550,468878,516037,
252424,468870,516047,
252452,468957,516137,
252600,468988,516168,
252799,469000,516278,
252968,469040,516303,
253060,469073,516385,
253095,469207,516474,
253131,469151,516594,
253201,469195,516627,
253281,469207,516660,
253322,469227,516708,
253300,469273,516805,
253220,469277,516758,
253092,469276,516747,
252931,469282,516704,
252778,469187,516670,
252701,469205,516520,
252727,469026,516372,
252799,468952,516056,
252797,468787,515825,
252660,468551,515491,
252456,468418,515133,
252349,468167,514758,
252456,468020,514445,
252758,467795,514090,
253132,467572,513663,
253452,467408,513383,
253661,467227,513060,
253746,467055,512813,
253704,466948,512486,
253550,466774,512309,
253348,466665,512167,
253197,466656,511970,
253159,466515,511748,
253217,466442,511628,
253315,466406,511583,
253437,466339,511484,
253628,466228,511345,
253911,466255,511258,
254230,466237,511206,
254476,466205,511131,
254600,466155,511086,
254676,466144,511004,
254845,466096,510969,
255194,466037,510933,
