ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
646128,434456,502564,
645685,434597,502668,
645215,434611,502778,
644848,434679,502867,
644641,434698,502994,
644529,434735,503070,
644405,434853,503241,
644244,434906,503419,
644119,434917,503549,
644111,434972,503626,
644207,434998,503730,
644295,435045,503841,
644262,435113,503951,
644095,435127,504092,
643901,435179,504181,
643816,435203,504316,
643883,435249,504339,
643984,435242,504414,
643925,435295,504563,
643605,435274,504687,
643138,435258,504765,
642806,435319,504820,
642847,435313,505034,
643257,435378,505207,
643786,435370,505210,
644127,435409,505285,
644138,435415,505379,
643904,435493,505588,
643616,435457,505645,
643415,435475,505725,
643323,435535,505784,
643305,435523,505839,
643343,435549,505858,
643433,435557,505889,
643542,435617,505996,
643590,435586,506076,
643515,435618,506111,
643348,435650,506186,
643207,435645,506285,
643193,435673,506370,
643294,435672,506365,
643391,435662,506432,
643380,435713,506505,
643273,435707,506524,
643181,435715,506590,
643180,435699,506683,
643228,435765,506753,
643203,435796,506857,
643048,435783,506862,
642857,435828,506956,
642817,435886,507050,
643048,435792,507106,
643485,435825,507120,
643915,435775,507209,
644133,435850,507310,
644076,435838,507294,
643823,435885,507358,
643490,435843,507467,
643140,435827,507471,
642792,435811,507511,
642493,435801,507569,
642343,435789,507635,
642417,435841,507739,
642671,435792,507754,
642930,435847,507779,
643000,435897,507843,
642801,435919,507933,
642408,435945,507983,
641968,435955,507985,
641602,436016,508129,
641361,436024,508195,
641255,435998,508225,
641267,436014,508276,
641339,436085,508350,
641379,436068,508316,
641339,436076,508481,
641302,436047,508454,
641471,436129,508506,
642010,436129,508532,
642866,436188,508650,
643772,436192,508651,
644459,436184,508669,
644867,436266,508789,
645136,436254,508794,
645344,436236,508828,
645272,436240,508900,
644440,436295,509005,
642415,436303,508991,
639145,436258,509047,
635066,436260,509098,
630939,436254,509063,
627569,436279,509143,
625561,436252,509076,
625178,436248,509200,
626290,436372,509267,
628439,436302,509327,
631004,436271,509339,
633433,436298,509334,
635430,436275,509426,
636981,436267,509438,
638222,436309,509416,
639258,436275,509500,
640079,436297,509566,
640605,436334,509600,
640819,436328,509610,
640830,436283,509614,
640831,436339,509769,
640971,436369,509807,
641260,436380,509890,
641580,436311,509890,
641782,436326,510023,
641816,436316,510012,
641756,436334,510088,
641711,436359,510065,
641691,436404,510100,
641595,436415,510148,
641332,436375,510168,
640973,436360,510261,
640753,436388,510309,
640910,436364,510364,
641486,436422,510279,
642285,436415,510341,
643010,436409,510395,
643460,436440,510372,
643646,436351,510377,
643747,436353,510372,
643947,436258,510341,
644270,436144,510240,
644562,435965,510066,
644632,435849,509886,
644440,435709,509730,
644151,435568,509684,
643983,435423,509566,
643980,435350,509457,
643950,435246,509427,
643627,435234,509377,
642921,435133,509309,
642006,435173,509334,
641177,435122,509404,
640608,435138,509393,
640226,435196,509335,
639795,435150,509428,
639116,435147,509529,
638179,435204,509511,
637151,435260,509596,
636263,435234,509681,
635681,435254,509746,
635447,435278,509809,
635494,435339,509866,
635696,435388,509991,
635917,435469,510051,
636055,435482,510064,
636074,435529,510183,
636018,435508,510186,
635982,435597,510399,
636042,435603,510425,
636192,435608,510491,
636344,435703,510573,
636377,435760,510667,
636213,435800,510726,
635859,435816,510760,
635403,435859,510863,
634980,435866,510917,
634692,435913,510972,
634541,435895,511020,
634437,435917,511087,
634295,435947,511148,
634141,435931,511240,
634092,435999,511321,
634208,436040,511373,
634384,436064,511441,
634429,436140,511488,
634243,436170,511580,
633913,436188,511656,
633609,436191,511776,
633427,436235,511892,
633355,436245,511872,
633345,436295,512026,
633368,436279,512074,
633360,436310,512130,
633187,436348,512217,
632720,436356,512273,
631985,436362,512345,
631201,436410,512420,
630641,436513,512398,
630413,436503,512540,
630386,436472,512630,
630304,436463,512770,
629998,436517,512717,
629483,436561,512747,
628882,436528,512840,
628287,436572,512976,
627708,436568,513003,
626346,436658,513059,
626313,436670,513145,
626568,436677,513210,
627058,436673,513274,
627666,436698,513306,
628210,436663,513360,
628484,436728,513368,
628379,436716,513392,
628002,436776,513534,
627633,436709,513565,
627502,436798,513646,
627583,436850,513688,
627625,436803,513770,
627404,436858,513839,
626945,436887,513833,
626491,436889,513973,
626267,436956,513999,
626276,436943,514079,
626326,436911,514147,
626220,436905,514219,
625916,436940,514231,
625512,436954,514373,
625108,436975,514375,
624716,436976,514374,
624295,437024,514473,
623871,437011,514540,
623576,437026,514575,
623547,437036,514632,
623777,437036,514677,
624096,437004,514768,
624336,437103,514731,
624508,437111,514832,
624829,437133,514868,
625526,437118,514963,
626601,437111,515236,
627742,437165,515264,
628420,437169,515409,
628090,437183,515562,
626375,437213,515667,
623215,437197,515715,
618942,437217,515763,
614271,437259,515878,
610141,437185,515892,
607415,437175,515955,
606555,437229,516001,
607453,437258,516073,
609538,437197,516083,
612105,437227,516114,
618724,437276,516336,
620227,437256,516394,
621301,437229,516462,
621906,437227,516523,
622079,437237,516537,
621961,437284,516549,
621772,437341,516637,
621736,437308,516807,
621980,437349,516810,
622449,437360,516813,
622924,437337,516816,
