ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
120108,396424,400506,
120383,396343,400535,
119952,396340,400645,
119083,396369,400714,
118182,396292,400657,
117607,396336,400716,
117555,396328,400838,
118052,396329,400915,
118992,396379,400949,
120214,396363,401031,
121581,396411,401061,
123026,396462,401202,
124505,396473,401276,
125929,396494,401304,
127147,396506,401396,
128042,396545,401470,
128644,396507,401499,
129114,396529,401538,
129597,396463,401479,
130095,396385,401313,
130483,396171,401048,
130658,396032,400743,
130648,395711,400227,
130600,395325,399765,
130668,394926,399188,
130939,394588,398653,
131426,394171,398048,
132076,393790,397505,
132783,393447,396953,
133419,393114,396355,
133908,392801,395890,
134289,392423,395394,
134684,392197,394890,
135180,391933,394461,
135751,391696,394099,
136323,391518,393741,
136896,391287,393352,
137575,391177,393083,
138461,391024,392820,
139511,390942,392585,
140548,390868,392357,
141401,390838,392140,
142025,390785,392048,
142499,390680,391914,
142914,390631,391756,
143316,390562,391683,
143730,390510,391528,
144198,390408,391468,
144761,390426,391454,
145401,390348,391334,
146032,390391,391400,
146570,390387,391433,
147013,390344,391412,
147452,390314,391437,
148020,390351,391431,
148819,390318,391460,
149879,390317,391502,
151132,390368,391483,
152411,390344,391525,
153501,390294,391599,
154259,390303,391618,
154715,390313,391662,
155062,390321,391682,
155511,390301,391729,
156133,390289,391748,
156827,390240,391722,
157438,390252,391852,
157902,390274,391899,
158276,390309,392024,
158664,390327,392118,
159117,390348,392199,
159626,390325,392331,
160156,390390,392420,
160696,390501,392601,
161254,390522,392726,
161856,390498,392789,
162543,390451,392891,
163355,390507,392932,
164280,390484,393036,
165219,390449,393060,
166018,390441,393147,
166570,390455,393183,
166901,390461,393240,
167136,390439,393318,
167399,390482,393376,
167724,390438,393451,
168077,390383,393463,
168439,390456,393512,
168837,390425,393527,
169313,390437,393521,
169858,390446,393602,
170411,390484,393640,
170907,390449,393652,
171323,390446,393681,
171678,390473,393705,
172008,390474,393725,
172358,390474,393768,
172784,390423,393751,
173322,390421,393757,
173945,390440,393913,
174541,390487,393885,
174975,390478,394012,
175188,390495,394023,
175244,390600,394073,
175278,390640,394204,
175397,390635,394184,
175626,390699,394238,
175941,390725,394357,
176309,390796,394408,
176710,390765,394455,
177116,390813,394540,
177500,390780,394521,
177853,390803,394627,
178204,390848,394665,
178598,390915,394772,
179082,390905,394821,
179710,390901,394862,
180558,390949,394872,
181702,390922,394873,
183158,390903,394904,
184837,390923,394937,
186553,390916,395032,
188072,390862,394979,
189156,390887,395067,
189613,390786,395092,
189373,390779,395058,
188580,390826,395066,
187597,390760,395147,
186871,390813,395150,
186706,390812,395258,
187128,390768,395263,
187926,390816,395290,
188821,390816,395367,
189617,390876,395419,
190245,390897,395562,
190723,390888,395581,
191108,390966,395637,
191468,391030,395699,
191853,390999,395742,
192272,390951,395607,
192710,390876,395467,
193168,390709,395244,
193694,390443,394900,
194343,390168,394406,
195122,389781,393978,
195980,389395,393364,
196854,389102,392878,
197722,388672,392299,
198601,388297,391676,
199492,388005,391157,
200352,387662,390665,
201118,387300,390116,
201765,387006,389594,
202319,386672,389043,
202825,386396,388621,
203318,386156,388159,
203829,385876,387767,
204414,385716,387345,
205142,385483,387062,
206036,385325,386752,
207033,385143,386472,
208019,385091,386279,
208913,385030,386103,
209696,384942,385974,
210376,384909,385758,
210938,384889,385603,
211364,384911,385523,
211682,384893,385533,
211978,384923,385389,
212313,384962,385353,
212666,385013,385360,
212962,385080,385344,
213180,385101,385306,
213396,385150,385285,
213718,385191,385308,
214156,385253,385299,
214600,385286,385293,
214910,385316,385255,
215039,385317,385310,
215057,385409,385345,
215057,385413,385315,
215075,385467,385367,
215094,385580,385406,
215109,385628,385420,
215163,385765,385497,
215312,385833,385534,
215573,385960,385705,
215904,386157,385691,
216240,386264,385783,
216526,386423,385774,
216749,386492,385870,
216963,386633,385985,
217279,386714,386028,
217806,386813,386051,
218559,386889,386085,
219431,386988,386147,
220260,387024,386118,
220953,387124,386231,
221525,387215,386320,
222028,387310,386374,
222456,387323,386344,
222751,387341,386443,
222889,387448,386487,
222942,387437,386448,
223036,387576,386553,
223258,387543,386499,
223605,387570,386575,
224007,387602,386525,
224376,387584,386486,
224626,387617,386496,
224703,387668,386519,
224623,387634,386495,
224495,387635,386435,
224468,387589,386453,
224625,387601,386381,
225401,387665,386389,
225535,387648,386322,
225699,387660,386316,
225943,387645,386320,
226233,387531,386280,
226511,387584,386245,
226769,387568,386160,
227051,387608,386176,
227378,387682,386139,
227714,387678,386100,
227995,387747,386152,
228190,387712,386233,
228312,387747,386267,
228384,387873,386269,
228425,387893,386231,
228466,387904,386312,
228549,387944,386387,
228690,388030,386382,
228838,388054,386412,
228908,388089,386514,
228883,388108,386533,
228875,388130,386558,
229079,388180,386593,
229647,388235,386641,
230606,388244,386695,
231891,388263,386673,
233440,388333,386676,
235244,388323,386674,
237315,388341,386735,
239608,388392,386722,
241975,388324,386691,
244150,388310,386728,
245792,388321,386723,
246575,388326,386641,
246332,388337,386714,
245196,388360,386692,
243602,388407,386749,
242107,388443,386835,
241117,388413,386866,
240740,388522,386932,
240846,388517,386989,
241261,388512,387070,
241899,388602,387108,
242768,388583,387170,
243884,388658,387320,
245206,388709,387275,
246621,388719,387379,
247963,388754,387422,
250463,388741,387361,
251106,388601,387195,
252007,388451,386855,
253198,388163,386451,
254513,387841,386093,
