ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
767238,459680,515344,
767414,459562,515250,
767547,459551,515100,
767598,459431,514898,
767591,459298,514722,
767598,459306,514708,
767688,459251,514618,
767883,459205,514546,
768156,459168,514480,
768440,459145,514445,
768663,459090,514410,
768786,459075,514401,
768835,459074,514285,
768874,459073,514304,
768938,459050,514264,
768979,459062,514217,
768893,459114,514277,
768604,459090,514239,
768128,459134,514234,
767552,459042,514209,
766973,459044,514219,
766454,459056,514209,
766036,459038,514156,
765738,459064,514207,
765533,459053,514159,
765340,459065,514192,
765086,459038,514200,
764795,459112,514199,
764699,459033,514230,
764784,459071,514188,
764681,459047,514186,
764404,459070,514210,
764091,459080,514228,
763863,459071,514186,
763741,459089,514216,
763705,459049,514180,
763766,459061,514132,
763931,459043,514160,
764111,459044,514152,
764118,459031,514180,
763818,459082,514065,
763305,459005,514086,
762873,458987,514104,
762795,459011,514014,
763110,459016,514011,
763615,458990,514023,
764053,458983,514014,
764291,458990,514007,
764340,458994,514024,
764259,458959,513997,
764082,459021,514051,
763823,459050,514012,
763533,459005,514020,
763294,458997,514038,
763176,458981,514080,
763202,458979,514067,
763335,458995,514037,
763507,459023,514073,
763641,459031,513999,
763691,459015,514094,
763667,459057,514072,
763632,458998,514041,
763645,459028,514101,
763708,458969,514075,
763760,459002,514064,
763753,458962,514123,
763703,458978,514090,
763663,458992,514055,
763640,458925,514053,
763574,458996,513970,
763409,458954,514018,
763193,458940,513973,
763059,458881,513951,
763107,458864,513874,
763318,458877,513917,
763584,458914,513858,
763979,458934,513916,
763869,458885,513821,
763595,458897,513852,
763227,458842,513855,
762911,458819,513854,
762759,458818,513737,
762765,458779,513807,
762847,458833,513899,
762947,458814,513822,
763070,458827,513785,
763223,458822,513822,
763357,458850,513826,
763406,458849,513841,
763366,458790,513822,
763294,458831,513757,
763218,458882,513890,
763093,458853,513907,
762876,458909,513855,
762638,458915,513911,
762542,458868,513888,
762677,458926,513940,
762937,458888,513936,
763104,458863,513899,
763055,458904,513939,
762884,458896,513934,
762798,458902,513934,
762901,458955,513991,
763111,458876,513970,
763247,458916,514009,
763195,458946,514037,
762979,458953,513940,
762713,458922,514064,
762523,458970,514043,
762488,458947,514074,
762608,458955,514124,
762792,458951,514131,
762908,458971,514077,
762886,458951,514052,
762792,458956,514077,
762769,458980,514120,
762893,458954,514137,
763095,458989,514072,
763230,459020,514185,
763229,459006,514262,
763148,459017,514206,
763085,458984,514222,
763080,459053,514258,
763105,459060,514281,
763149,459107,514279,
763246,459006,514255,
763419,459059,514273,
763609,459046,514383,
763702,459081,514351,
763619,459060,514331,
763380,459076,514330,
763060,459091,514451,
762709,459142,514416,
762350,459066,514423,
762038,459029,514361,
761883,459112,514489,
761967,459122,514437,
762249,459101,514408,
762575,459127,514469,
762774,459109,514496,
762764,459113,514483,
762560,459124,514480,
762238,459097,514472,
761930,459136,514567,
761811,459129,514589,
762014,459134,514579,
762502,459175,514582,
763051,459160,514624,
763417,459198,514642,
763565,459106,514560,
763712,459170,514632,
764129,459204,514636,
764884,459203,514692,
765754,459204,514623,
766343,459184,514646,
766275,459144,514659,
765330,459153,514665,
763525,459149,514697,
761172,459216,514765,
758834,459215,514773,
757115,459202,514763,
756375,459174,514792,
756576,459218,514775,
757378,459179,514817,
758397,459220,514766,
759381,459199,514813,
760214,459196,514808,
760844,459242,514815,
761251,459302,514910,
761481,459271,514884,
761642,459231,514851,
761814,459280,514960,
761982,459295,514937,
762054,459259,514940,
761974,459322,515043,
761796,459364,515003,
761661,459328,515047,
761691,459344,515047,
761917,459313,514994,
762270,459324,515050,
762620,459320,514993,
762822,459355,515041,
762783,459336,514993,
762538,459249,515010,
762258,459233,514971,
762145,459193,514802,
762267,459094,514657,
762500,458978,514460,
762655,458845,514302,
762660,458674,514103,
762609,458542,513790,
762636,458440,513678,
762772,458296,513436,
762954,458091,513175,
763138,458009,512984,
763362,457901,512857,
763672,457766,512673,
764023,457691,512483,
764297,457613,512316,
764423,457443,512227,
764454,457381,512021,
764497,457339,511903,
764612,457298,511766,
764773,457267,511671,
764944,457144,511536,
765138,457113,511485,
765385,457114,511385,
765653,457111,511402,
765838,457085,511360,
765854,457064,511364,
765713,457016,511266,
765510,457013,511262,
765338,457044,511250,
765227,456996,511290,
765144,457053,511295,
765023,457032,511299,
764789,457101,511257,
764389,457050,511300,
763841,457074,511304,
763264,457186,511311,
762815,457152,511380,
762572,457082,511273,
762452,457099,511314,
762285,457105,511390,
761951,457179,511349,
761477,457143,511365,
760998,457189,511406,
760645,457173,511421,
760482,457159,511339,
760516,457171,511368,
760713,457187,511436,
760985,457215,511416,
761177,457184,511454,
761145,457203,511386,
760866,457171,511383,
760478,457219,511346,
760185,457245,511378,
760098,457166,511418,
760182,457155,511320,
760324,457160,511362,
760434,457135,511351,
760476,457205,511316,
760431,457081,511279,
760295,457177,511333,
760123,457157,511329,
760042,457145,511297,
760154,457203,511320,
760431,457163,511360,
760721,457259,511403,
760876,457191,511358,
760860,457181,511413,
760729,457198,511430,
760530,457227,511414,
760276,457183,511381,
760014,457240,511361,
759863,457241,511396,
759933,457251,511349,
760198,457247,511403,
760482,457207,511377,
760589,457226,511388,
760464,457197,511326,
760231,457210,511371,
760082,457202,511330,
760132,457185,511323,
760353,457164,511297,
760602,457175,511322,
760707,457204,511279,
760571,457215,511333,
760236,457192,511350,
759868,457154,511321,
759650,457219,511324,
759651,457198,511319,
759778,457155,511309,
759876,457163,511326,
759848,457166,511258,
759948,457193,511294,
760045,457172,511311,
760050,457165,511283,
759955,457163,511291,
759822,457116,511352,
759712,457117,511245,
759648,457149,511194,
759642,457162,511280,
759715,457090,511269,
759854,457129,511321,
759973,457114,511213,
759958,457141,511248,
759774,457085,511275,
759508,457072,511267,
759294,457074,511192,
759198,457146,511198,
759201,457150,511267,
759274,457150,511289,
759433,457159,511319,
759674,457145,511291,
759903,457136,511277,
759963,457205,511366,
759774,457250,511332,
759411,457213,511432,
759045,457247,511405,
758804,457262,511445,
758703,457365,511470,
758704,457255,511467,
758787,457295,511504,
758938,457259,511470,
759100,457325,511478,
759177,457317,511528,
759121,457269,511560,
758993,457396,511605,
758916,457348,511582,
758969,457348,511605,
759137,457378,511626,
759346,457357,511680,
759530,457385,511656,
759628,457391,511643,
759577,457387,511752,
759339,457395,511744,
758966,457457,511734,
758620,457451,511767,
758475,457441,511769,
758594,457543,511869,
758885,457526,511835,
759520,457499,511946,
759522,457528,511939,
759447,457527,511949,
759357,457498,511974,
759354,457565,512004,
759508,457565,511961,
759762,457550,512002,
759930,457590,512050,
759832,457648,512088,
759436,457636,512030,
758882,457624,512105,
758357,457620,512131,
757986,457715,512219,
757807,457691,512165,
757811,457695,512186,
757956,457678,512269,
758153,457723,512226,
758299,457715,512289,
758357,457742,512254,
758379,457695,512239,
758437,457737,512323,
758523,457793,512312,
758559,457787,512331,
758513,457769,512417,
758479,457740,512365,
758595,457755,512372,
758909,457792,512403,
759335,457838,512521,
759772,457835,512475,
760214,457776,512384,
760725,457796,512473,
761295,457830,512526,
761740,457879,512599,
761751,457868,512501,
761058,457843,512521,
759592,457866,512527,
757559,457846,512572,
755399,457850,512544,
753625,457913,512598,
752616,457942,512642,
752453,457927,512670,
752938,457893,512656,
753759,457950,512687,
754686,457938,512682,
755613,457959,512751,
756462,457993,512714,
757100,458016,512773,
757403,458041,512807,
757399,458001,512849,
757304,458058,512804,
757371,458021,512876,
757680,458054,512860,
758091,458060,512919,
758389,458030,512838,
758458,457988,512891,
758336,458028,512862,
758133,458119,512972,
757956,458105,513001,
757880,458110,513006,
757954,458115,513047,
758163,458068,513041,
758412,458066,512913,
758573,458021,512891,
758599,457974,512847,
758578,457961,512755,
758647,457801,512626,
758837,457711,512457,
759014,457617,512273,
759004,457502,512060,
758774,457341,511906,
758497,457185,511652,
758418,457102,511484,
758655,456955,511241,
759115,456824,511069,
759591,456693,510853,
759910,456600,510691,
760031,456545,510530,
760042,456450,510384,
760098,456290,510188,
760338,456235,510073,
760790,456165,509926,
761348,456107,509849,
761855,456108,509689,
762236,456044,509675,
762529,456040,509619,
762772,456005,509533,
762876,455954,509480,
762665,455934,509454,
762076,455966,509443,
761291,456017,509487,
760623,455963,509460,
760279,455950,509452,
760214,455927,509398,
760233,455978,509406,
760191,456002,509467,
760061,456012,509437,
759871,456015,509479,
759612,456080,509500,
759258,456058,509493,
758837,456025,509521,
758442,456062,509508,
758156,456088,509569,
757994,456091,509573,
757917,456159,509653,
757877,456089,509554,
757828,456168,509609,
757702,456126,509604,
757454,456200,509639,
757124,456200,509664,
756844,456188,509748,
756729,456190,509650,
756754,456191,509732,
756777,456195,509668,
756693,456166,509682,
756557,456246,509709,
756531,456219,509714,
756697,456200,509614,
756947,456146,509663,
757079,456144,509626,
756990,456183,509646,
756766,456188,509693,
756585,456174,509609,
756557,456216,509724,
756660,456239,509680,
756812,456231,509707,
756950,456203,509660,
757046,456263,509697,
757069,456240,509740,
756988,456239,509742,
756819,456266,509734,
756654,456271,509752,
756599,456279,509745,
756694,456316,509748,
756887,456294,509716,
757082,456225,509754,
757213,456323,509803,
757263,456315,509805,
757250,456284,509757,
757213,456320,509741,
757185,456284,509780,
757168,456311,509831,
757119,456356,509783,
756983,456357,509775,
