ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
-1062990,344443,440340,
-1063105,344607,440643,
-1063275,344665,440983,
-1063484,344839,441205,
-1063687,344905,441452,
-1063827,345028,441687,
-1063867,345131,441984,
-1063818,345228,442242,
-1063730,345391,442473,
-1063644,345413,442730,
-1063553,345498,442909,
-1063415,345603,443164,
-1063218,345724,443284,
-1063022,345767,443472,
-1062942,345819,443586,
-1063050,345924,443789,
-1063318,345961,443838,
-1063631,345960,444014,
-1063870,346039,444139,
-1063987,346113,444255,
-1064017,346152,444290,
-1064026,346133,444404,
-1064066,346169,444375,
-1064151,346118,444459,
-1064269,346105,444580,
-1064402,346184,444648,
-1064527,346176,444651,
-1064614,346192,444881,
-1064632,346223,444939,
-1064568,346263,445065,
-1064437,346351,445213,
-1064260,346387,445358,
-1064007,346462,445541,
-1063557,346483,445678,
-1062737,346557,445793,
-1061508,346557,445915,
-1060160,346665,446129,
-1059347,346710,446274,
-1059822,346759,446392,
-1061987,346785,446548,
-1065566,346895,446685,
-1069664,346906,446820,
-1073175,346959,446978,
-1075268,346919,447104,
-1075652,347018,447296,
-1074546,347021,447346,
-1072468,347074,447570,
-1070018,347105,447705,
-1067721,347179,447885,
-1065933,347195,448013,
-1064794,347302,448179,
-1064237,347373,448400,
-1064058,347424,448561,
-1064029,347471,448704,
-1063991,347527,448916,
-1063892,347638,449065,
-1063752,347622,449150,
-1063621,347578,449019,
-1063527,347450,448706,
-1063457,347234,448241,
-1063371,346881,447563,
-1063223,346493,446721,
-1062994,346142,445960,
-1062711,345752,445089,
-1062416,345391,444220,
-1062133,344934,443286,
-1061844,344599,442475,
-1061524,344237,441639,
-1061184,343873,440871,
-1060877,343544,439977,
-1060651,343255,439187,
-1060487,342967,438563,
-1060300,342768,437851,
-1059994,342545,437265,
-1059545,342301,436753,
-1059012,342199,436315,
-1058476,342068,435897,
-1057977,341991,435623,
-1057496,341901,435363,
-1056996,341963,435211,
-1056474,341868,435144,
-1055968,341938,435109,
-1055532,341931,435049,
-1055198,342001,435103,
-1054965,342033,435182,
-1054810,342138,435317,
-1054721,342196,435433,
-1054706,342397,435652,
-1054788,342478,435959,
-1054982,342597,436160,
-1055282,342755,436396,
-1055660,342940,436755,
-1056089,343036,437076,
-1056567,343228,437317,
-1057098,343329,437690,
-1057666,343484,438053,
-1058224,343632,438363,
-1058718,343808,438742,
-1059126,343963,439091,
-1059477,344132,439493,
-1059804,344319,439890,
-1060113,344444,440282,
-1060377,344599,440613,
-1060569,344757,440988,
-1060684,344891,441325,
-1060740,345034,441645,
-1060759,345165,441992,
-1060767,345291,442216,
-1060800,345414,442519,
-1060892,345505,442740,
-1061042,345606,443008,
-1061199,345715,443243,
-1061294,345753,443457,
-1061291,345828,443605,
-1061208,345937,443800,
-1060692,346075,443974,
-1060422,346127,444117,
-1060174,346175,444270,
-1060060,346188,444355,
-1060152,346200,444486,
-1060429,346268,444568,
-1060779,346312,444609,
-1061069,346383,444746,
-1061208,346342,444822,
-1061174,346407,444941,
-1061012,346415,444928,
-1060806,346489,445030,
-1060644,346472,445098,
-1060564,346532,445170,
-1060543,346557,445248,
-1060524,346580,445308,
-1060485,346622,445411,
-1060459,346684,445434,
-1060494,346793,445525,
-1060574,346758,445616,
-1060589,346862,445790,
-1060359,346884,445853,
-1059713,346916,445950,
-1058586,347016,446079,
-1057126,347062,446231,
-1055754,347162,446352,
-1055112,347207,446494,
-1055820,347287,446610,
-1058145,347308,446806,
-1061763,347441,446952,
-1065808,347456,447072,
-1069208,347538,447306,
-1071107,347653,447438,
-1071164,347743,447647,
-1069613,347841,447836,
-1067091,347904,447990,
-1064358,347988,448219,
-1062028,348081,448384,
-1060416,348104,448565,
-1059516,348222,448704,
-1059119,348318,448878,
-1058957,348354,449148,
-1058833,348428,449316,
-1058660,348560,449420,
-1058442,348534,449651,
-1058222,348580,449814,
-1058041,348553,449935,
-1057909,348382,449965,
-1057530,348192,449000,
-1057286,347846,448328,
-1056989,347525,447600,
-1056698,347135,446738,
-1056460,346697,445805,
-1056284,346282,444916,
-1056136,345934,444063,
-1055974,345524,443155,
-1055774,345134,442294,
-1055527,344759,441467,
-1055217,344449,440684,
-1054827,344153,439911,
-1054350,343878,439213,
-1053808,343615,438553,
-1053232,343402,437953,
-1052630,343229,437454,
-1051988,343032,436946,
-1051305,342922,436589,
-1050620,342826,436240,
-1050009,342715,436017,
-1049540,342706,435834,
-1049225,342679,435750,
-1049029,342668,435730,
-1048899,342748,435723,
-1048802,342819,435777,
-1048734,342885,435865,
-1048710,342999,436058,
-1048744,343102,436231,
-1048847,343236,436432,
-1049029,343354,436689,
-1049303,343554,437021,
-1049681,343695,437346,
-1050164,343876,437683,
-1050735,344026,437988,
-1051356,344206,438366,
-1051986,344361,438761,
-1052584,344544,439184,
-1053116,344770,439579,
-1053549,345021,440018,
-1053856,345161,440441,
-1054038,345397,440887,
-1054134,345620,441330,
-1054197,345820,441808,
-1054262,346051,442259,
-1054324,346276,442706,
-1054355,346462,443137,
-1054343,346663,443562,
-1054315,346808,443980,
-1054319,347020,444340,
-1054379,347168,444718,
-1054462,347379,445070,
-1054494,347538,445411,
-1054425,347698,445691,
-1054269,347779,445921,
-1054091,347944,446233,
-1053948,348023,446457,
-1053843,348175,446728,
-1053754,348248,446921,
-1053676,348399,447151,
-1053635,348507,447391,
-1053653,348603,447554,
-1053711,348730,447781,
-1053768,348859,448097,
-1053806,349019,448369,
-1053846,349145,448576,
-1053913,349246,448785,
-1053993,349467,449095,
-1054038,349604,449341,
-1054009,349820,449645,
-1053917,349930,449883,
-1053809,350099,450132,
-1053724,350285,450375,
-1053675,350411,450619,
-1053654,350577,450848,
-1053649,350725,451093,
-1053630,350885,451380,
-1053508,351043,451608,
-1053127,351223,451857,
-1052329,351389,452179,
-1051082,351615,452500,
-1049614,351826,452825,
-1048432,352044,453121,
-1048167,352282,453432,
-1049286,352460,453723,
-1051810,352677,453998,
-1055222,352847,454381,
-1058650,353052,454693,
-1061214,353261,455074,
