ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
-721228,384936,415712,
-721652,384902,415681,
-722112,384887,415662,
-722502,384883,415546,
-722756,384809,415546,
-722895,384802,415528,
-722989,384856,415423,
-723077,384719,415372,
-723155,384694,415422,
-723226,384735,415402,
-723330,384698,415343,
-723511,384650,415374,
-723758,384756,415400,
-724014,384769,415530,
-724236,384820,415540,
-724435,384829,415568,
-724967,384989,415560,
-724946,385011,415681,
-724789,385048,415787,
-724571,385122,415811,
-724380,385205,415938,
-724258,385334,416020,
-724202,385392,416177,
-724194,385412,416284,
-724222,385489,416337,
-724289,385575,416427,
-724410,385601,416521,
-724612,385630,416583,
-724904,385664,416626,
-725253,385732,416820,
-725564,385754,416828,
-725727,385742,416869,
-725681,385768,416930,
-725454,385780,416935,
-725137,385815,417002,
-724826,385845,416992,
-724588,385883,417051,
-724469,385890,417159,
-724508,385929,417170,
-724708,385942,417182,
-725008,385980,417296,
-725297,386017,417317,
-725501,386041,417418,
-725650,386148,417466,
-725853,386231,417532,
-726198,386250,417612,
-726656,386335,417735,
-727083,386470,417797,
-727295,386532,417891,
-727147,386532,418013,
-726575,386636,418172,
-725615,386687,418206,
-724432,386751,418283,
-723340,386746,418398,
-722747,386833,418404,
-723014,386795,418457,
-724272,386835,418505,
-726320,386878,418533,
-728665,386915,418575,
-730708,386950,418594,
-731978,386922,418648,
-732307,386997,418703,
-731856,387029,418756,
-730980,387116,418815,
-728622,387167,419055,
-728215,387202,419140,
-727995,387278,419249,
-727939,387384,419351,
-727979,387423,419504,
-728025,387487,419540,
-728020,387564,419721,
-727989,387656,419762,
-727987,387698,419846,
-728027,387703,419928,
-728051,387700,419922,
-728000,387754,419947,
-727877,387731,419996,
-727740,387767,420004,
-727636,387710,419985,
-727546,387669,419882,
-727409,387584,419791,
-727189,387493,419660,
-726891,387444,419535,
-726526,387336,419395,
-726091,387224,419179,
-725582,387077,418937,
-725031,386913,418703,
-724505,386773,418481,
-724060,386628,418193,
-723720,386442,417957,
-723496,386338,417670,
-723411,386147,417466,
-723494,386043,417293,
-723732,385883,416998,
-724062,385741,416741,
-724407,385634,416529,
-724733,385562,416348,
-725051,385438,416177,
-725373,385330,415987,
-725672,385233,415840,
-725906,385146,415694,
-726070,385052,415528,
-726225,385000,415367,
-726452,384974,415180,
-726792,384867,415131,
-727225,384786,414998,
-727687,384765,414905,
-728107,384686,414770,
-728434,384604,414719,
-728645,384664,414665,
-728749,384598,414604,
-728784,384563,414624,
-728793,384581,414537,
-728799,384528,414452,
-728797,384489,414422,
-728790,384507,414398,
-728805,384464,414412,
-728856,384498,414383,
-728896,384516,414387,
-728807,384559,414412,
-728473,384542,414469,
-727881,384522,414463,
-727159,384554,414494,
-726500,384573,414580,
-726041,384602,414613,
-725798,384649,414662,
-725685,384661,414730,
-725598,384741,414833,
-725473,384793,414821,
-725300,384800,414845,
-725107,384829,414870,
-724938,384844,414997,
-724829,384836,414918,
-724795,384793,414922,
-724835,384824,414909,
-724950,384775,414864,
-725153,384805,414873,
-725445,384763,414815,
