ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
933422,295817,291273,
932603,295747,291175,
931854,295807,291224,
931225,295812,291230,
930722,295864,291282,
930324,295935,291368,
929967,296022,291404,
929571,296080,291489,
929116,296182,291619,
928682,296328,291802,
928384,296437,291995,
928263,296540,292085,
928249,296762,292374,
928253,296935,292609,
928254,297093,292776,
928285,297276,293103,
928335,297480,293401,
928327,297704,293687,
928205,297966,294012,
928031,298214,294327,
927935,298502,294687,
927985,298680,294959,
928121,298930,295274,
928238,299187,295570,
928295,299467,295925,
928303,299653,296216,
928242,299891,296549,
928048,300116,296837,
927710,300392,297164,
927350,300641,297512,
927158,300845,297775,
927246,301054,298004,
927569,301210,298321,
927981,301415,298571,
928315,301537,298727,
928418,301663,298945,
928173,301756,299103,
927564,301823,299229,
926761,301892,299376,
926081,301974,299459,
925822,302016,299581,
926070,302050,299626,
926661,302073,299703,
927308,302067,299756,
927766,302056,299799,
927924,302124,299790,
927806,302110,299827,
927538,302109,299893,
927285,302114,299924,
927154,302069,299929,
927093,302082,299916,
926902,302034,299956,
926396,302086,300005,
925594,302056,300044,
924753,302068,300053,
924178,302073,300098,
923985,302071,300129,
924038,302070,300176,
924105,302120,300197,
924058,302126,300295,
923927,302192,300386,
923768,302429,300492,
923842,302427,300560,
923983,302562,300704,
924166,302606,300822,
924311,302759,300987,
924325,302863,301082,
924196,302949,301229,
924040,303030,301412,
924084,303211,301536,
924583,303260,301698,
925678,303418,301925,
927266,303540,302052,
928947,303678,302222,
930153,303799,302367,
930427,303893,302526,
929654,304085,302732,
928091,304196,302916,
926167,304372,303140,
924260,304532,303363,
922629,304675,303532,
921468,304790,303753,
920911,304984,303951,
920935,305156,304160,
921272,305382,304400,
921544,305524,304648,
921539,305722,304873,
921372,305871,305053,
921345,306131,305380,
921630,306285,305603,
922111,306507,305851,
922522,306723,306090,
922694,306880,306350,
922642,307063,306648,
922472,307250,306864,
922279,307332,307079,
922152,307332,307337,
922200,307251,307485,
922489,307126,307533,
922932,306871,307427,
923294,306495,307261,
923362,306045,306929,
923121,305364,306430,
922768,304705,305832,
922556,303930,305111,
922618,303175,304296,
922919,302416,303423,
923334,301647,302499,
923753,301045,301634,
924598,300334,299098,
924699,299628,298251,
924754,299065,297553,
924833,298539,296802,
924982,298020,296093,
925185,297543,295416,
925386,297056,294886,
925561,296662,294215,
925758,296239,293756,
926054,295942,293268,
926463,295690,292871,
926871,295442,292428,
927049,295233,292183,
