ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
-634263,454820,622261,
-634175,454822,622306,
-634166,454856,622408,
-634337,454868,622368,
-634682,454854,622464,
-635102,454896,622540,
-635778,454983,622490,
-635580,454958,622493,
-635164,454891,622612,
-634681,454914,622621,
-634356,454898,622634,
-634308,454886,622645,
-634417,454917,622614,
-634366,454866,622686,
-633874,454883,622699,
-632929,454818,622635,
-631835,454801,622646,
-631047,454817,622645,
-630937,454821,622645,
-631644,454823,622707,
-633039,454815,622685,
-634774,454775,622716,
-636388,454761,622760,
-637466,454773,622629,
-637813,454790,622592,
-637528,454768,622657,
-636908,454784,622592,
-636269,454772,622641,
-635800,454760,622644,
-635561,454717,622695,
-635552,454769,622671,
-635750,454771,622746,
-636086,454841,622718,
-636428,454894,622838,
-636624,454894,622932,
-636597,454924,622970,
-636388,455005,623010,
-636134,455008,623138,
-635988,455050,623168,
-636048,455090,623286,
-636330,455058,623271,
-636777,455138,623440,
-637279,455138,623443,
-637723,455066,623454,
-638025,455040,623464,
-638162,454963,623512,
-638165,454882,623438,
-638087,454776,623296,
-637964,454575,623170,
-637812,454452,623024,
-637638,454185,622731,
-637474,453890,622348,
-637377,453633,621911,
-637406,453309,621365,
-638043,453010,619869,
-638151,452704,619369,
-638114,452387,618830,
-637976,452043,618225,
-637822,451757,617777,
-637721,451528,617326,
-637697,451251,616823,
-637718,450959,616394,
-637733,450695,615965,
-637700,450544,615653,
-637611,450330,615268,
-637485,450172,615037,
-637348,450031,614789,
-637221,449952,614633,
-637116,449867,614502,
-637044,449788,614335,
-637014,449752,614289,
-637039,449728,614272,
-637150,449680,614229,
-637395,449695,614182,
-637811,449619,614199,
-638387,449737,614253,
-639057,449726,614275,
-639747,449727,614320,
-640426,449741,614290,
-641112,449728,614390,
-641826,449768,614441,
-642551,449781,614471,
-643248,449789,614461,
-643900,449833,614519,
-644514,449791,614478,
-645073,449828,614498,
-645490,449839,614507,
-645641,449887,614522,
-645477,449787,614505,
-645100,449825,614535,
-644721,449773,614546,
-644532,449873,614535,
-644594,449843,614568,
-644824,449817,614519,
-645068,449854,614504,
-645202,449830,614531,
-645198,449826,614496,
-645118,449771,614456,
-645055,449783,614441,
-645060,449863,614556,
-645110,449853,614521,
-645141,449908,614570,
-645108,449916,614669,
-645033,449979,614715,
-644978,449974,614828,
-645000,450003,614834,
-645109,450117,614917,
-645281,450154,615153,
-645488,450293,615202,
-645699,450296,615299,
-645857,450347,615375,
-645876,450425,615579,
-645705,450509,615676,
-645380,450504,615766,
-645010,450565,615873,
-644690,450640,615978,
-644438,450666,616036,
-644221,450722,616077,
-644015,450776,616132,
-643843,450787,616199,
-643738,450798,616201,
-643700,450769,616270,
-643709,450735,616269,
-643756,450807,616339,
-643849,450769,616369,
-643978,450791,616213,
-644089,450759,616216,
-644124,450733,616279,
-644079,450768,616231,
-644012,450755,616093,
-643982,450712,616127,
-643982,450669,616135,
-643952,450659,616040,
-643847,450633,616042,
-643693,450598,615957,
-643557,450592,615995,
-643487,450594,615875,
-643473,450542,615828,
-643478,450488,615796,
-643483,450472,615809,
-643502,450477,615745,
-643554,450418,615722,
-643631,450460,615725,
-643704,450459,615790,
-643746,450501,615808,
-643759,450486,615858,
-643773,450514,615844,
-643833,450507,615888,
-643975,450514,615898,
-644184,450590,615962,
-644386,450631,615970,
-644467,450609,616077,
-644362,450671,616196,
-644112,450647,616243,
-643844,450709,616373,
-643672,450801,616462,
-643614,450807,616560,
-643625,450835,616623,
-643687,450888,616670,
-643861,450936,616769,
-644213,451001,616859,
-644690,450999,616928,
-645085,451030,617028,
-645159,451091,617099,
-644821,451165,617202,
-644217,451145,617188,
-643647,451212,617314,
-643395,451233,617379,
-643574,451251,617460,
-644090,451248,617494,
-644705,451337,617569,
-645179,451282,617643,
-645406,451433,617758,
-645447,451453,617853,
-645439,451441,617883,
-645450,451515,617970,
-645413,451564,618080,
-645221,451620,618156,
-644877,451664,618198,
-644540,451614,618230,
-644423,451743,618344,
-644628,451743,618368,
-645083,451757,618429,
-645592,451800,618510,
-645966,451833,618548,
-646108,451878,618670,
-646038,451924,618638,
-645873,451920,618775,
-645776,451975,618863,
-645871,451999,618844,
-646164,452057,618949,
-646519,452109,619045,
-646751,452138,619161,
-646763,452148,619233,
-646621,452234,619324,
-646482,452290,619365,
-646469,452294,619443,
-646602,452355,619603,
-646832,452340,619575,
-647115,452377,619702,
-647415,452467,619795,
-647678,452489,619810,
-647825,452456,619858,
-647811,452427,619961,
-647654,452549,620000,
-647385,452569,620041,
-646990,452600,620132,
