ECG_I_Filtered,ECG_I_mV,PPG_RED_Filtered,PPG_IR_Filtered,{'Hz': 250}
,,,,ecg_mv = (ecg_data - 11872) / (2 ** 24) * 1000 * 0.7867+ 0.0093
3549.2889834417,-0.3809600263,0.3612773116,0.4719192120,
3724.3495434294,-0.3727512661,0.2519196608,0.3444361848,
3890.6723531973,-0.3649522275,0.1436753199,0.2180844941,
4043.6166973470,-0.3577805183,0.0370127390,0.0934570180,
4185.5588890158,-0.3511247106,-0.0675929790,-0.0288755835,
4325.0122654161,-0.3445856060,-0.1696988527,-0.1483804636,
4471.7071852036,-0.3377069383,-0.2689185843,-0.2645445370,
4630.5625062052,-0.3302580576,-0.3648450510,-0.3769062339,
4798.1370640628,-0.3224003233,-0.4571789435,-0.4850657430,
4962.8696723474,-0.3146758509,-0.5455674818,-0.5886317262,
5109.2791226763,-0.3078105691,-0.6297689509,-0.6872718927,
5224.6041848331,-0.3024028646,-0.7095486334,-0.7807214185,
5304.9236068907,-0.2986366087,-0.7846802054,-0.8687391405,
5356.8361153372,-0.2962023806,-0.8550430796,-0.9511284335,
5377.6204152052,-0.2952277845,-0.9204790666,-1.0277675471,
5373.6351902035,-0.2954146556,-0.9809165749,-1.0985269952,
5345.4791028515,-0.2967349220,-1.0362611822,-1.1633798118,
5280.9907946174,-0.2997588416,-1.0865141701,-1.2222845700,
5156.3688860582,-0.3056024843,-1.1316704670,-1.2752724611,
4974.9719769631,-0.3141083620,-1.1717299560,-1.3223838539,
4722.1186464994,-0.3259649010,-1.2067659133,-1.3637072660,
4383.6474533617,-0.3418361449,-1.2368216459,-1.3993563808,
3956.4769359230,-0.3618665865,-1.2620177416,-1.4294390016,
3456.0456123889,-0.3853322988,-1.2824442247,-1.4541381267,
2902.0319809548,-0.4113105376,-1.2982263554,-1.4736036315,
2340.0345199655,-0.4376631459,-1.3094997123,-1.4880472421,
1825.0916880767,-0.4618093169,-1.3164372962,-1.4976546034,
1404.0819244208,-0.4815508748,-1.3191901443,-1.5026360511,
1099.8036487731,-0.4958187795,-1.3179433845,-1.5032285460,
904.5752617224,-0.5049732287,-1.3128691320,-1.4996627717,
786.7151448431,-0.5104998044,-1.3042015762,-1.4921920682,
705.3416608698,-0.5143154863,-1.2921251481,-1.4810468472,
625.4531538746,-0.5180615363,-1.2768633805,-1.4664863062,
525.0479494469,-0.5227696341,-1.2586616932,-1.4487863030,
392.6043548750,-0.5289800432,-1.2377535202,-1.4282156569,
220.4406593307,-0.5370529666,-1.2143950896,-1.4050457748,
1.7151340556,-0.5473092196,-1.1888416806,-1.3795537261,
-264.8939674499,-0.5598107800,-1.1613738125,-1.3520571522,
-565.8284092356,-0.5739218891,-1.1322628828,-1.3228042268,
-867.0499727083,-0.5880464616,-1.1018191266,-1.2921501088,
-1120.1204564365,-0.5999131831,-1.0703276273,-1.2603728343,
-1279.4016759528,-0.6073820346,-1.0380907853,-1.2277804052,
-1322.1354635542,-0.6093858636,-1.0054245481,-1.1947220601,
-1259.8436681009,-0.6064649406,-0.9726528016,-1.1614763324,
-1133.6481548125,-0.6005475101,-0.9400691157,-1.1283836617,
-995.6708050622,-0.5940776177,-0.9080004437,-1.0957700249,
-887.5135161699,-0.5890060171,-0.8767553964,-1.0639329572,
-827.1382011922,-0.5861749598,-0.8466425016,-1.0331752377,
-809.1467887116,-0.5853313249,-0.8179318319,-1.0038174863,
-815.5012226234,-0.5856292905,-0.7909110347,-0.9761016419,
-828.7634619210,-0.5862511698,-0.7658537688,-0.9503470222,
-840.3754804790,-0.5867956687,-0.7429706696,-0.9267685339,
-851.6592668356,-0.5873247764,-0.7224774430,-0.9055822621,
-869.0968239723,-0.5881424405,-0.7045838836,-0.8869946089,
-897.9301690927,-0.5894944641,-0.6893948060,-0.8711816655,
-937.2813333993,-0.5913396785,-0.6770619494,-0.8582506106,
-978.9523618692,-0.5932936737,-0.6676585199,-0.8482969054,
-1010.2653130277,-0.5947619684,-0.6611774947,-0.8414041191,
-1020.6222587213,-0.5952476157,-0.6576737561,-0.8375521747,
-1008.7852838884,-0.5946925684,-0.6570639108,-0.8367090911,
-986.3564863294,-0.5936408603,-0.6592565719,-0.8388218387,
-974.4179764748,-0.5930810519,-0.6641239703,-0.8437685009,
-1002.9318771527,-0.5944180965,-0.6714921210,-0.8513668017,
-1077.3403233544,-0.5979071810,-0.6811343708,-0.8614311879,
-1186.0854619995,-0.6030063465,-0.6927942390,-0.8737252985,
-1303.6494516990,-0.6085190365,-0.7061829060,-0.8879283497,
-1400.9144625182,-0.6130798876,-0.7209895367,-0.9037868250,
-1439.0026757378,-0.6148658810,-0.7368518077,-0.9209112322,
-1421.3962836144,-0.6140403001,-0.7533928195,-0.9389380508,
-1366.3374891398,-0.6114585396,-0.7702469224,-0.9575010313,
-1299.0285057995,-0.6083023558,-0.7869972619,-0.9761656535,
-1241.0715573298,-0.6055846980,-0.8032456928,-0.9945654712,
-1212.8288774753,-0.6042603713,-0.8185978394,-1.0122526198,
-1211.0227097438,-0.6041756783,-0.8326524452,-1.0288240695,
-1227.5753071619,-0.6049518457,-0.8450465691,-1.0439105578,
-1255.7289320292,-0.6062719966,-0.8553956826,-1.0571078632,
-1293.2858556717,-0.6080330774,-0.8633862721,-1.0680762040,
-1340.8483581952,-0.6102633294,-0.8687243447,-1.0764833391,
-1397.7787282371,-0.6129328499,-0.8711307983,-1.0820483332,
-1458.9192627186,-0.6157997891,-0.8703902187,-1.0845040561,
-1514.8322665957,-0.6184216044,-0.8663230663,-1.0836568245,
-1554.7200526101,-0.6202919815,-0.8588026951,-1.0793285919,
-1570.0649410393,-0.6210115183,-0.8477415656,-1.0714267193,
-1556.5892594467,-0.6203796304,-0.8331135983,-1.0598672914,
-1514.9753424309,-0.6184283133,-0.8149481258,-1.0446579367,
-1451.2255313751,-0.6154390226,-0.7932917111,-1.0258124594,
-1377.2621741961,-0.6119708087,-0.7682866723,-1.0034233429,
-1309.8476250924,-0.6088096749,-0.7400875649,-0.9776547706,
-1265.8242442933,-0.6067453756,-0.7089091957,-0.9486533067,
-1254.7143978069,-0.6062244241,-0.6750072725,-0.9166649521,
-1273.7604571684,-0.6071175124,-0.6386566831,-0.8819298814,
-1309.1247991878,-0.6087757808,-0.6001718326,-0.8447555576,
-1343.1298056986,-0.6103703087,-0.5599017135,-0.8054577332,
-1363.3378633050,-0.6113178842,-0.5181949060,-0.7643729542,
-1367.8313631307,-0.6115285888,-0.4754331809,-0.7218699054,
-1363.9327005666,-0.6113457767,-0.4319873398,-0.6782959154,
-1362.5642750193,-0.6112816099,-0.3882345885,-0.6340331772,
-1372.8884896591,-0.6117657224,-0.3445392780,-0.5894467089,
-1400.2277511690,-0.6130476870,-0.3012682763,-0.5448891027,
-1446.9844694932,-0.6152401551,-0.2587648470,-0.5007118967,
-1513.3610575863,-0.6183526179,-0.2173507317,-0.4572233392,
-1596.0399311624,-0.6222295108,-0.1772888501,-0.4147264588,
-1685.7435084454,-0.6264357990,-0.1388665396,-0.3734960858,
-1766.5142099183,-0.6302232158,-0.1023083532,-0.3337553617,
-1819.1144580740,-0.6326896927,-0.0677779759,-0.2957297115,
-1828.2266771664,-0.6331169735,-0.0354443539,-0.2595478745,
-1789.3732929615,-0.6312951005,-0.0054132407,-0.2253538936,
-1711.8367324895,-0.6276593357,0.0222537295,-0.1932407266,
-1615.7394237971,-0.6231532392,0.0475132175,-0.1632330008,
-1524.9237957007,-0.6188948060,0.0704064484,-0.1353660723,
-1458.4722775399,-0.6157788296,0.0909405737,-0.1095669621,
-1424.6272989319,-0.6141918056,0.1092056075,-0.0858243173,
-1418.7112895267,-0.6139143981,0.1253256186,-0.0640125917,
-1426.4066787624,-0.6142752424,0.1394151686,-0.0440200559,
-1430.9958956223,-0.6144904353,0.1516508930,-0.0257021970,
-1422.0813683915,-0.6140724244,0.1621773505,-0.0088847400,
-1401.9055244155,-0.6131263594,0.1712214754,0.0066046782,
-1385.7507898591,-0.6123688482,0.1789434365,0.0209514000,
-1395.1795894660,-0.6128109738,0.1855786711,0.0343656617,
-1447.0743463198,-0.6152443695,0.1912984039,0.0470252279,
-1544.2374816056,-0.6198004435,0.1962969951,0.0591543505,
-1672.6714143727,-0.6258228357,0.2007949757,0.0709063022,
-1806.5785612985,-0.6321018723,0.2049162237,0.0824724176,
-1917.4813364529,-0.6373022114,0.2088452379,0.0940165708,
-1982.2221510643,-0.6403379713,0.2127111597,0.1056613375,
-1986.8434132867,-0.6405546668,0.2166274129,0.1175493526,
-1927.1475279675,-0.6377554686,0.2206767777,0.1297554430,
-1808.9768964167,-0.6322143326,0.2249257787,0.1423579670,
-1648.4539161774,-0.6246872537,0.2294246261,0.1553959273,
-1469.6209807974,-0.6163016031,0.2341835282,0.1689147516,
-1297.5204796020,-0.6082316430,0.2391818976,0.1828775227,
-1148.1547974683,-0.6012277407,0.2444008586,0.1972671102,
-1021.1663146001,-0.5952731270,0.2497801966,0.2120253428,
-901.3574063054,-0.5896551706,0.2552621881,0.2270929544,
-769.8104427737,-0.5834868054,0.2607387577,0.2423509785,
-617.5677888561,-0.5763479990,0.2661097557,0.2577061173,
-452.9518038458,-0.5686289951,0.2712933095,0.2730351328,
-297.5248412601,-0.5613408735,0.2761329533,0.2882011267,
-174.2492486250,-0.5555603609,0.2805250615,0.3030683607,
-96.8873672595,-0.5519327869,0.2843659711,0.3174943047,
-68.2815320627,-0.5505914314,0.2875165610,0.3313384985,
-87.1540713019,-0.5514763832,0.2898653020,0.3444649293,
-156.2673064024,-0.5547171701,0.2913288902,0.3567553770,
-284.0235517388,-0.5607077849,0.2918328982,0.3680677679,
-477.9051144276,-0.5697990802,0.2912783033,0.3783506274,
-734.4742941222,-0.5818298589,0.2896485364,0.3874819152,
-1033.4933828087,-0.5958511552,0.2869035186,0.3954018981,
-1340.6446646035,-0.6102537780,0.2830438627,0.4021024266,
-1617.0904155532,-0.6232165886,0.2780891472,0.4075309487,
-1830.4729034351,-0.6332223013,0.2720887332,0.4117463683,
-1962.2343875606,-0.6394007256,0.2651155567,0.4147362948,
-2009.8971185795,-0.6416356775,0.2572675489,0.4166051329,
-1985.3433382859,-0.6404843268,0.2486645978,0.4174294787,
-1911.7352794271,-0.6370327732,0.2394729640,0.4173409622,
-1818.9151655125,-0.6326803477,0.2298190273,0.4164915103,
-1737.2452106258,-0.6288507639,0.2199306461,0.4150141628,
-1689.0076192382,-0.6265888563,0.2099975995,0.4131482193,
-1680.6445860237,-0.6261967055,0.2002482910,0.4110899525,
-1699.6782956763,-0.6270892147,0.1908977582,0.4090654094,
-1718.7509227287,-0.6279835488,0.1822164452,0.4073148808,
-1704.8646313734,-0.6273324070,0.1744332312,0.4061182953,
-1630.2615752851,-0.6238341971,0.1678095643,0.4057342259,
-1478.8238974458,-0.6167331369,0.1625871292,0.4064128254,
-1245.8337299708,-0.6058080010,0.1590269109,0.4084419131,
-934.4131939375,-0.5912051887,0.1573405610,0.4120915906,
-555.7643992159,-0.5734499779,0.1577850401,0.4176176772,
-137.8494443005,-0.5538535386,0.1605490504,0.4252722611,
259.9695838547,-0.5351994169,0.1658339297,0.4352707718,
538.8106100006,-0.5221242895,0.1738054722,0.4478573509,
573.2315707541,-0.5205102572,0.1846144950,0.4632001481,
252.1104147582,-0.5355679409,0.1983833494,0.4814894640,
-464.1148971608,-0.5691524435,0.2151667114,0.5028162399,
-1497.2063918371,-0.6175951099,0.2350742344,0.5273320605,
-2646.3660836120,-0.6714803272,0.2580777018,0.5550677917,
-3638.3559741824,-0.7179956994,0.2841861991,0.5860595031,
-4217.8980524515,-0.7451709920,0.3133394583,0.6203067638,
-4238.7542943806,-0.7461489615,0.3454575456,0.6577185515,
-3713.3266628444,-0.7215111480,0.3803822621,0.6982185087,
-2799.8571074875,-0.6786776708,0.4179782888,0.7416556332,
-1738.1075645831,-0.6288912006,0.4580118296,0.7878261598,
-766.9199568937,-0.5833512677,0.5002625581,0.8364867085,
-59.0561935343,-0.5501588463,0.5444247789,0.8873819807,
307.3218301625,-0.5329790239,0.5902187051,0.9401490531,
342.8522327797,-0.5313129687,0.6372281623,0.9944355190,
121.8531469462,-0.5416758311,0.6851760444,1.0498403366,
-248.2772805344,-0.5590316074,0.7335878213,1.1059212592,
-655.7408885572,-0.5781379728,0.7820497921,1.1621870465,
-1008.7395015921,-0.5946904216,0.8301473454,1.2181549435,
-1252.4749295611,-0.6061194133,0.8774007469,1.2732980884,
-1374.7089677184,-0.6118510864,0.9233561088,1.3270884473,
-1396.4833965326,-0.6128721106,0.9675466101,1.3789613013,
-1352.3199815710,-0.6108012450,1.0094906096,1.4283623231,
-1269.7404733856,-0.6069290114,1.0487610505,1.4747635785,
-1159.2266074020,-0.6017469086,1.0848804274,1.5176130442,
-1017.4601038097,-0.5950993392,1.1174422863,1.5563762063,
-839.9226674555,-0.5867744359,1.1460193469,1.5905626534,
-633.3359877379,-0.5770873852,1.1702744976,1.6196989205,
-420.5417385045,-0.5671092556,1.1898358040,1.6433557831,
-234.5015779516,-0.5583856513,1.2044106004,1.6611255590,
-105.4171485250,-0.5523327566,1.2137601966,1.6726838042,
-46.3300768245,-0.5495621063,1.2176594071,1.6777311493,
-44.4419735087,-0.5494735713,1.2159605731,1.6760458977,
-62.5544332040,-0.5503228822,1.2085531134,1.6674446587,
-52.2690344139,-0.5498405898,1.1954042968,1.6518338937,
25.5326605681,-0.5461923925,1.1765313726,1.6292024052,
181.2491057447,-0.5388906967,1.1519732087,1.5995560823,
389.1187714976,-0.5291434856,1.1218984137,1.5630070556,
597.4201446689,-0.5193760314,1.0864786515,1.5197556194,
752.8317286403,-0.5120886308,1.0459348669,1.4700214919,
826.7520434099,-0.5086224353,1.0005954740,1.4141230336,
829.3796256671,-0.5084992254,0.9507844009,1.3524347453,
804.3530288650,-0.5096727469,0.8968791745,1.2853880818,
808.1508232910,-0.5094946646,0.8393281293,1.2134483923,
886.3315961351,-0.5058286920,0.7785752898,1.1371611938,
1057.8539515559,-0.4977858417,0.7151284464,1.0571010722,
1312.3965107448,-0.4858500931,0.6494843855,0.9738323891,
1617.7179119879,-0.4715332752,0.5821898830,0.8880273702,
1931.4968107256,-0.4568198770,0.5137531458,0.8002760886,
2213.0118796102,-0.4436193613,0.4447553907,0.7112704970,
2433.7018085617,-0.4332709955,0.3756952659,0.6216299726,
2585.3653048205,-0.4261593465,0.3071170444,0.5320220885,
2683.5610929994,-0.4215548503,0.2395393776,0.4430699331,
2762.0479151322,-0.4178745268,0.1734183489,0.3553435488,
2858.3845307208,-0.4133572090,0.1092260827,0.2694700720,
2996.0897167801,-0.4069000787,0.0474023053,0.1859512541,
3173.4022678809,-0.3985857205,-0.0117089742,0.1053020385,
3364.7209961904,-0.3896145990,-0.0677149217,0.0279781472,
3533.8047315108,-0.3816860979,-0.1203393506,-0.0456330400,
